"codigo_de_referencia","condiciones_de_acceso","existencia_y_localizacion_de_originales","idioma_original","doblajes_disponibles","subtitulajes","soporte","numero_copias","descripcion_fisica","color","audio","sistema_de_grabacion","region_dvd","requisitos_tecnicos"
"MXIM-AV-1-4-1","Usos reservados para consulta in situ","","Ruso","","","DVD / VHS","1 dvd / 1 vhs","Copia","Blanco y negro","","NTSC","","Reproductor DVD/VHS y Monitor"
"MXIM-AV-1-4-2","Usos reservados para consulta in situ","","Película muda","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y Monitor "
"MXIM-AV-1-4-3","Usos reservados para consulta in situ","","Película muda","","Inglés","DVD","","Copia","Blanco y negro","","","","Reproductor DVD y Monitor"
"MXIM-AV-1-4-4","Usos reservados para consulta in situ","(http://www.divisared.es/index.aspx) Información General: divisa@divisared.es Prensa y Comunicación: prensa@divisared.es DIVISA HOME VIDEO® Paseo de la Castellana 111, 9º - 28046 Madrid Tel: +34 915 980 980 DIVISA RED, S.A. - CIF: A 47033485 C/ Los Astros, 2 - 47009 Valladolid Tel: +34 983 363 363","Inglés","","Español","VHS","1 dvd / 1 vhs","Copia","Blanco y negro","Monoaural","NTSC","Multiregión","Reproductor DVD/VHS y Monitor"
"MXIM-AV-1-4-5","Usos reservados para consulta in situ","","Película muda","","Francés","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y Monitor"
"MXIM-AV-1-4-6","Usos reservados para consulta in situ","","Película muda","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y Monitor"
"MXIM-AV-1-5-1","Usos reservados para consulta in situ","","Película muda","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-2","Usos reservados para consulta in situ","","Inglés","","","DVD","","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-3","Usos reservados para consulta in situ","","Alemán","Español (España)","Inglés","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-4","Usos reservados para consulta in situ","","Inglés","","","","1 dvd","Copia","Blanco y negro","Monoaural","NTSC","",""
"MXIM-AV-1-5-5","Usos reservados para consulta in situ","","Francés","","Alemán","DVD","1 dvd","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-6","Usos reservados para consulta in situ","","Inglés","","Español","VHS"," 1 dvd, 1 vhs","Copia","Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-5-7","Usos reservados para consulta in situ","","Inglés","","","","1 dvd, 1 vhs","Copia","Blanco y negro","Monoaural","NTSC","",""
