"codigo_de_referencia","sinopsis","descriptor_onomastico","descriptor_toponimico","descriptor_cronologico","tipo_de_produccion","genero","fuentes","recursos","versiones","formato_original","material_extra"
"MXIM-AV-1-4-1","Sobre una cámara gigante que mira a la audiencia, se encuentra el hombre de la cámara. El cine inicialmente vacío, se llena de público, las luces se apagan, todo está preparado; el director mueve la batuta, la orquesta comienza a tocar y la película se inicia. Es aún de madrugada en la ciudad soviética; sus calles aparecen desiertas y las tiendas están todavía cerradas, nada turba el silencio de la gran urbe. Poco a poco las calles se van poblando de gente, los tranvías y coches hacen su aparición, y las fábricas inician su producción. El tráfico se hace más denso, mientras, los comercios abren sus puertas. Atento a todos los acontecimientos, el operador filma desde su coche, otro automóvil en el que viajan varias personas. En la sala de montaje, una mujer corta y ordena la película. El hombre de la cámara filma desde todos los ángulos y en todos los lugares recogiendo la realidad que le rodea. Los espectadores disfrutan del acontecimiento cinematográfico, gracias al ojo que todo lo ve. El llamado Kino glaz, o Cine ojo es un estilo fílmico de origen soviético que sería el precursor del posterior cinema-verité o cine-verdad, muy influyente en la cinematografía experimental mundial, igual que en la latinoamericana en la década de los 60 y 70. Cargado de una ideología antropológica y social, el Kino Glaz ruso creó una auténtica escuela en la que tenían cabida infinidad de temas y este video presenta una representación a modo de ensayo sobre las características peculiares de este modo de hacer cine, teniendo como escenario la Rusia socialista de mediados del siglo XX.","Máximo Gorki","Unión Soviética: Bakhmetevsky (depósito de autobuses), Kiev, Cracovia, Moscú y Odesa","1920","Película documental","","Grabación de campo, Ficción, Registros fílmicos, Publicidad, Música de época, Registros videográficos","Puesta en escena","","VHS",""
"MXIM-AV-1-4-2","Drifters o Pescadores a la Deriva es un film insonoro de 50 minutos de duración sobre el trabajo diario de los pescadores en la industria del arenque a finales de los años 20 en Inglaterra, enfocado en la clase obrera británica. Los hombres salen de su aldea pesquera y caminan hacia el puerto, donde una panorámica general muestra los pesqueros fondeados y a los marineros que preparan la salida. La nave sale del puerto en busca de la pesca. Al llegar al caladero,\
se levan anclas y se sueltan redes. Tras la faena, los marineros bajan a sus camarotes para dormir, mientras se intercalan imágenes nocturnas del mar y de los peces comiendo en la red. Al día siguiente se recogen las redes mientras se levanta una tormenta y la tripulación emprende una titánica lucha contra los elementos de la naturaleza. Tras la captura, regresan a puerto, donde les espera el mercado; allí es pescado es vendido, manipulado, embalado y transportado a buques de carga que lo distribuyen por todo el mundo.","","Inglaterra","1920","Película documental","","Registros fílmicos, ficción, grabación de campo","Intertítulos","","",""
"MXIM-AV-1-4-3","Este documental se centra alrededor de las actividades de los jóvenes en una aldea del soviet. Estos niños y niñas están constantemente ocupados, pegando carteles de propaganda en las paredes, incitando a todos para que \"compren en la cooperativa\" ayudando a viudas pobres. (FILMAFFINITY)","Kopuchuska, Anya, Latishov","Unión Soviética: Moscú, primer supermercado rojo","1920","Película documental","","Grabación de campo, Registros fílmicos, Música de época","Puesta en escena, Intertítulos, Gráficos","","",""
"MXIM-AV-1-4-4","La vida cotidiana de los Inuits (Esquimales) en los años 20. Uno de los documentales más famosos a pesar de que es una representación creada y actuada según convenía a la producción. Flaherty retrata las aventuras y los peligros de la vida Inuit a través de la familia que escoge y que está integrada por Nanook el cazador, Nyla y Canyou, sus esposas y Lee y Alllegoo, sus hijos. El filme permanece como una joya del género por su calidad como documento etnográfico acerca de un modo de vida hoy casi desaparecido, este documento cinematográfico describe las negociaciones diarias, la caza y la pesca y las migraciones de un grupo de personas alejadas de toda civilización tecnológica. (Elaborada en LAIS)","Nanook, Nyla, Alle, Cunayou, Rainbow","Canadá: Bahía de Hudson","1910 - 1916","Película documental","","Grabación de campo, Ficción, Registros fílmicos, Cartografía","Intertítulos","","VHS","Flaherty y otros títulos, ficha técnica."
"MXIM-AV-1-4-5","La primera película de Carné, filmada a los 20 años y que trata de los placeres simples de la gente sencilla en una tarde de domingo cerca de París, a las orillas del río Marne. Carné filmó su película con la ayuda de Michel Sanvoisin, un relojero de cierto renombre en el mundo del cine aficionado: Sanvoisin le dio la cámara y película, y también participó en la filmación.","Michel Sanvoisin","Nogent, Marne, Casino de Tremblay","1929","Película documental","","Grabación de campo, Ficción, Registros fílmicos","Intertítulos","","35 mm",""
"MXIM-AV-1-4-6","Regen” es un retrato de Ámsterdam a partir del flujo del agua, el viento y la lluvia. Se encuentra llena de reflejos como la mayoría de los trabajos de vanguardia, los reflejos eran una fijación, dado que el cine y la fotografía son capaces de captar a la perfección el fenómeno visual. Ivens usa pues al reflejo como estrategia visual para representar a su ciudad, un trabajo que le tomó alrededor de 2 años de recopilación de imágenes en la lluvia.","","Holanda: Ámsterdam","1929","Película documental","","Grabación de campo, Ficción, Registros fílmicos","Intertítulos","","35 mm",""
"MXIM-AV-1-5-1","Documental de sátira social sobre la Francia de la época, en el que la conducta de la alta burguesía es contrapuesta por un montaje corrosivo a la vida de los trabajadores y otros marginados de Niza. \
Vigo toma allí una posición crítica, a la que llama \"punto de vista documentado\", entendiendo que el registro de la realidad no puede ser ajeno a una labor interpretativa.","","Niza, Francia","1930","Película documental","","Grabación de campo","Animación","","DVD",""
"MXIM-AV-1-5-2","Documental sobre las minas de carbón y sus trabajadores en Inglaterra. (FILMAFFINITY)","","Inglaterra mineras: City bebyll, Merthyr, Neath, Risca, Haverfordwast, Blacnavon, Stirling, Falkland, Falkirk, Glasgow, Strathaven, Roberton, Kilninning, Kilmarnock, Ayr, Woler, Rtohtbury, Newcastle, Allendale, Stanhope, Durham, Bolton, Manchester, Macclesfield, Liverpool, Wigan, Haslingden, Bradford, Pontefract, Doncaster, Sheffield, Mansfield, Macelesfield, Tunstall, Stoke, Eccleshall, Burton, Stafford, Shifnal, Newport, Dudley, Birmingham, Bewdley","1935","Película documental","","Cartografía, música de época, grabación de campo","Narración en off, animación, gráficos","","",""
"MXIM-AV-1-5-3","Alemania, año 1934. Adolf Hitler acababa de llegar al poder un año antes. En Nuremberg el Partido Nacionalsocialista celebra un triunfalista y patriótico congreso en el que se exaltan los valores raciales y patrios del pueblo ario alemán. (FILMAFFINITY)","Adolfo Hitler, Hermann Göring, Max Amann, Partido del Reich, Paul von Hindenburg, Wagner, Alfred Rosenberg, Otto Dietrich, Fritz Todt, Wilhelm Reinhardt, Richard Walther Darré, Juluis Streicher, Robert Ley, Joseph Goebbels, Konstantine Hierl ","Núremberg, Selva Negra, Pomerania, Dresden, Langemark, Tannenberg, Líege, Verdúm, Somme, Danubio, Flanders ","1934","Película documental"," ","Música de época, grabación de campo","Intertítulos, gráficos","","DVD",""
"MXIM-AV-1-5-4","En tiempos de posguerra los realizadores llevan a cabo una película que da cuenta de las condiciones de atraso y pobreza que enfrenta gran parte de la población urbana en Londres. Patrocinada por una firma gasera, la película se enfoca en las inconveniencias de las viviendas y las ventajas que el gas junto con viviendas multifamiliares, elementos claves de la modernidad, traerían. Este filme es considerado un clásico del género documental, pues incluye por primera vez testimonios sin guión y sin la presencia a cuadro de los entrevistadores, una introspección hacia la marginalidad y la pobreza por parte del primer mundo, por parte del mismo capitalismo.","Sra. Graves, Sr. Brenan, The Luftwaffe, British Commercial Gas Asociation","Londres, Inglaterra","","Película documental","","Registros fílmicos, fotografías, testimonios orales, testimonios videorales, grabación de campo"," Narración en off","","VHS",""
