"MXIM-AV-1-4-1","VUFKU (All-Ukrainian Photo Cinema Administration)","Gobierno Ucraniano de la Unión Soviética","Gobierno Ucraniano de la Unión Soviética","VUFKU (Administración Panucraniana para la Producción Foto Cinematográfica) fue fundada en la década de 1920, bajo la dirección del Departamento Nacional de Educación del Gobierno Soviético Ucraniano como parte de un proyecto destinado a la administración de las salas de cine, las compañías productoras y las instituciones cinematográficas de toda Ucrania. Conformado por un pequeño grupo de pequeños estudios, hasta el año de 1928 la VUFKU había producido más de 150 filmes (la mayoría de ellos cortometrajes). Con la fundación de esta institución productora, el Gobierno Soviético Ucraniano logró monopolizar toda la producción cinematográfica de dicho país. La VUFKU realizó la mayor parte de sus producciones en dos estudios ubicados en las localidades de Odesa, que son Kyev y Kharkov; en el estudio de Kyev, la VUFKU produjo alrededor de 40 filmes al año a partir de su construcción en 1927, lo que lo posicionó como uno de los estudios cinematográficos más modernos y mejor equipados de toda Europa para finales de la década de 1920. Como la mayoría de los estudios cinematográficos de Europa en esa época, el referente a superar era los estudios estadounidenses de Hollywood, así que gran parte de la producción de esta casa productora se basó en las técnicas cinematográficas hollywoodenses; la VUFKU tuvo éxito en su cometido y terminó convirtiéndose en un referente cultural y de negocios para gran parte de los estudios cinematográficos en la Unión Soviética, y en el continente europeo. (Fuente: http://www.kinofestnyc.com/history.html)","Denis Abramovich Kaufman nació en 1896 en el seno de una familia judía en Bialystok, ciudad perteneciente en aquellos años a la Rusia zarista. Interesado por el futurismo, adoptó el seudónimo de Dziga Vertov, que significa algo así como \"gira, peonza\" en ucraniano. En 1918, tras la revolución, el Comité del Cine de Moscú lo contrató para trabajar en Kino-Nedelia (\"Cine-Semana\", semanario cinematográfico de noticias de actualidad soviético), en la ciudad de Moscú. Vertov trabajó montando noticiarios cinematográficos durante tres años; su primera película como director fue El aniversario de la Revolución (1919), seguida de La batalla de Tsartitsyn (1920), El tren Lenin (1921) e Historia de la guerra civil (1922). En estas películas, Vertov exploró las posibilidades del montaje, ensamblando fragmentos de película sin tener en cuenta su continuidad formal, temporal, ni lógica, buscando destacar un efecto poético que impactara a los espectadores. En 1919, Vertov y otros jóvenes cineastas, entre los que se encontraba su futura esposa Elisaveta Svilova, crearon un grupo llamado Kinoks (Cine-Ojo). Más tarde se les uniría también el hermano de Vertov, Mikhail Kaufman. Entre 1922 y 1923, Vertov y Svilova escribieron varios manifiestos que aparecieron en publicaciones de vanguardia; así desarrollaron su teoría del Cine-Ojo. Vertov y los otros miembros del grupo rechazaron todos los elementos del cine convencional: desde la escritura previa de un guión hasta el recurso de los actores profesionales, pasando por el rodaje en estudios, los decorados, la iluminación, etc. Su objetivo fue captar la \"verdad\" cinematográfica montando fragmentos de actualidad que permitieran conocer una realidad más profunda que no puede ser percibida por el ojo. Según el propio Vertov: \"fragmentos de energía real que, mediante el arte del montaje, se van acumulando hasta formar un todo global\", permitiendo \"ver y mostrar el mundo desde el punto de vista de la revolución proletaria mundial\". Durante los años 20 rodó varias películas, destaca El hombre de la cámara (Chelovek kinoapparatom, 1929). (Fuente: http://es.wikipedia.org/wiki/Dziga_Vertov)","Donación","1999"
"MXIM-AV-1-4-2","Empire Marketing Board/New Era Films","","British International Pictures","La Empire Marketing Board (EMB) fue fundada en 1926 por el Secretario del Estado para las Colonias Leopold Amery del Partido Conservador de Gran Bretaña, con el fin de desarrollar y de promocionar un programa de películas para tender lazos con el mercado internacional y, en particular, con los países del Imperio. En un primer momento, la instancia estuvo dirigida por Stephen Tallents y John Grierson como colaborador (quien entonces era estudiante universitario de ciencias sociales); ambos lograron hacer innovaciones en la producción, distribución y exhibición fílmica de lo que Grierson llamaba \"Filme documental\"; estos personajes legaron escritos sobre los usos de este género cinematográfico. Los primeros filmes estuvieron enfocados en documentar e ilustrar las relaciones comerciales de Gran Bretaña, para publicitar y legitimar la política económica imperial. De la EMB salieron numerosos documentales: Conquest (1928), Drifters (1929), One Family (1930), Windmill in Barbados (1933), Cargo from Jamaica (1933).","John Grierson (26 de abril de 1898 - 19 de febrero de 1972) fue uno de los primeros y más influyentes documentalistas de la historia del cine. Nació en Deanstown, Escocia; estudió comunicación en la Universidad de Glasgow; su primer trabajo cinematográfico fue Drifters (1929) acerca de los pescadores de Arenque en Inglaterra. El estreno de Drifters fue un gran éxito, se hizo con fondos de la Empire Marketing Board (EMB), la cual le solicitaría a Grierson continuar con su tarea como realizador, además se convirtió en el director de la Unidad de Filmes de la misma EMB. Grierson era una persona creativa, extremadamente organizada y disciplinada, por lo que se encargó de reclutar a un ejército de prospectos que impulsaran la Unidad de Filmes, personas con poca o ninguna experiencia y que, con el tiempo, se convirtieron en grandes directores del género documental; con sus películas, todos ayudaron a promover una nueva imagen de la clase trabajadora y su labor fue de importancia en el desarrollo industrial de Gran Bretaña. Grierson continuó a la cabeza de la Unidad de Filmes durante varios años donde se dio a conocer como el \"padrino del documental\". En 1933 la EMB desapareció y la Unidad de Filmes pasó a formar parte de la Oficina General de Correos convirtiéndose en la Unidad de Filmes de la Oficina General de Correos (GPO Film Unit), de la cual Grierson fue director hasta 1938; ese año fue invitado a Canadá por el mismo gobierno para formar un organismo nacional que realizara películas cinematográficas. Al año siguiente (1939) Canadá creó la Comisión Nacional de Filmes, que luego se convertiría en la Junta Nacional Fílmica del Canadá (National Film Board of Canada), de la cual Grierson fue su primer comisionado. Cuando Canadá entró en la II Guerra Mundial en el mismo año, la NFB se enfocó en la realización de filmes con fines propagandísticos, muchos de los cuales fueron dirigidos por el mismo Grierson. Después de la Guerra, los contenidos se enfocaron en la vida de los canadienses. La National Film Board of Canada es una institución reconocida mundialmente por su alta calidad, muchos de sus productos han ganado premios de la Academia. En 1957 Grierson recibió un reconocimiento especial en la ceremonia de premios de filmes de Canadá.","",""
"MXIM-AV-1-4-3","VUFKU (All-Ukrainian Photo Cinema Administration)","Gobierno Ucraniano de la Unión Soviética","Gobierno Ucraniano de la Unión Soviética","VUFKU (Administración Panucraniana para la Producción Foto Cinematográfica) fue fundada en la década de 1920, bajo la dirección del Departamento Nacional de Educación del Gobierno Soviético Ucraniano como parte de un proyecto destinado a la administración de las salas de cine, las compañías productoras y las instituciones cinematográficas de toda Ucrania. La VUFKU fue formada por un reducido número de pequeños estudios, en 1928 ya había producido más de 150 filmes (la mayoría de ellos cortometrajes). Con la creación de esta institución, el Gobierno Soviético Ucraniano logró monopolizar toda la producción cinematográfica de dicho país. La mayor parte de las realizaciones de la VUFKU salieron de dos estudios ubicados en las localidades de Odesa, que son Kyev y Kharkov. A partir de 1927, año de la construcción del estudio de Kyev, la VUFKU produjo, sólo en ese lugar, alrededor de 40 filmes al año; además de que tuvo instalaciones que se contaban entre las más modernas y mejor equipadas de toda Europa a finales de la década de 1920. Para la mayoría de los estudios cinematográficos del viejo continente de esa época, un referente a superar fueron los estudios estadounidenses de Hollywood, no es extraño, que gran parte de la producción de la VUFKU se basara en las técnicas cinematográficas hollywoodenses. La VUFKU tuvo éxito en su cometido y terminó convirtiéndose en un modelo cultural y de negocios para gran parte de los estudios cinematográficos en la Unión Soviética y en el continente europeo. (Fuente: http://www.kinofestnyc.com/history.html)","Denis Abramovich Kaufman nació en 1896 en el seno de una familia judía en Bialystok, ciudad perteneciente en aquellos años a la Rusia zarista. Interesado por el futurismo, adoptó el seudónimo de Dziga Vertov, que significa algo así como \"gira, peonza\" en ucraniano. En 1918, tras la revolución, el Comité del Cine de Moscú lo contrató para trabajar en Kino-Nedelia (\"Cine-Semana\", semanario cinematográfico de noticias de actualidad soviético), en la ciudad de Moscú. Vertov trabajó montando noticiarios cinematográficos durante tres años; su primera película como director fue El aniversario de la Revolución (1919), seguida de La batalla de Tsartitsyn (1920), El tren Lenin (1921) e Historia de la guerra civil (1922). En estas películas, Vertov exploró las posibilidades del montaje, ensamblando fragmentos de película sin tener en cuenta su continuidad formal, temporal, ni lógica, buscando destacar un efecto poético que impactara a los espectadores. En 1919, Vertov y otros jóvenes cineastas, entre los que se encontraba su futura esposa Elisaveta Svilova, crearon un grupo llamado Kinoks (Cine-Ojo). Más tarde se les uniría también el hermano de Vertov, Mikhail Kaufman. Entre 1922 y 1923, Vertov y Svilova escribieron varios manifiestos que aparecieron en publicaciones de vanguardia; así desarrollaron su teoría del Cine-Ojo. Vertov y los otros miembros del grupo rechazaron todos los elementos del cine convencional: desde la escritura previa de un guión hasta el recurso de los actores profesionales, pasando por el rodaje en estudios, los decorados, la iluminación, etc. Su objetivo fue captar la \"verdad\" cinematográfica montando fragmentos de actualidad que permitieran conocer una realidad más profunda que no puede ser percibida por el ojo. Según el propio Vertov: \"fragmentos de energía real que, mediante el arte del montaje, se van acumulando hasta formar un todo global\", permitiendo \"ver y mostrar el mundo desde el punto de vista de la revolución proletaria mundial\". Durante los años 20 rodó varias películas, destaca El hombre de la cámara (Chelovek kinoapparatom, 1929). (Fuente: http://es.wikipedia.org/wiki/Dziga_Vertov)","",""
"MXIM-AV-1-4-4","Revillon Frères","Robert J. Flaherty","","Revillon Frères (Revillon Brothers) fue una empresa francesa de pieles y artículos de lujo fundada en París en 1723. Antes se llamó Maison Givelet, fue comprada en 1839 por Louis-Victor Revillon y se convirtió en la empresa más grande de la piel en Francia. Unos años después, se abrieron sucursales en Londres en 1869 y en Nueva York en 1878. A finales del siglo XIX, Revillon tenía tiendas en París, Londres, Nueva York y Montreal. La compañía compraba la mayoría de sus pieles en los mercados de Moscú, Leipzig y en las ferias anuales en Nizhny Novgorod (Gorki); en la feria Makaryev y en la feria de Irbit, Rusia; todo se gestionaba a través de su oficina en Leipzig, Alemania (1876), y de una agencia en Moscú (1905). A partir de 1908-1909 Revillon Frères abrió puestos de comercio de piel en Siberia, Mongolia y Turquestán; para 1912 contaba con 125 puestos de comercio de pieles en América y Siberia.","Robert Joseph Flaherty (16 de febrero de 1884, Iron Mountain, Michigan - 23 de julio de 1951, Dummerston, Vermont) fue un cineasta que en 1922 dirigió y produjo el primer documental de la historia del cine: Nanook el esquimal. Antes de comenzar la grabación de la película, Flaherty vivió con un Allakariallak (un hombre perteneciente a los Inuit) y con el resto de su familia durante varios meses. Las primeras grabaciones del realizador ardieron en un fuego provocado por una colilla del propio Flaherty, por lo que tuvo que grabar de nuevo las imágenes. Tiempo después, el cineasta admitió que este acontecimiento le benefició porque los primeros metros de película nunca le habían gustado del todo. Cuando Flaherty volvió a grabar, optó por preparar las situaciones, incluso el final, donde Allakariallak y su familia están, supuestamente, en riesgo de muerte si no encuentran o construyen un refugio de inmediato; el iglú que aparece en la cinta ya había sido construido parcialmente, para que Flaherty pudiera introducir la cámara y captar una buena imagen sobre el interior de esta construcción de hielo. (Fuente: http://es.wikipedia.org/wiki/Robert_J._Flaherty)","Donación","1999"
"MXIM-AV-1-4-5","","Michel Sanvoisin","","","Marcel Carné (París, 18 de agosto de 1906 - Clamart, 31 de octubre de 1996) fue un destacado director de cine francés que inició su carrera en el cine mudo como ayudante del director Jacques Feyder. Carné fue realizador de Les Enfants du paradis, El muelle de las brumas y Hôtel du Nord. A los 25 años ya había dirigido su primera película que marcó el inicio de su colaboración con el poeta y guionista Jacques Prévert; esta cooperación se prolongó por más de doce años durante los que se realizaron filmes que definen lo que es el cine francés actual. Bajo la ocupación alemana de Francia durante la Segunda Guerra Mundial, Carné trabajo con la Francia de Vichy, entonces se rebeló contra los intentos del régimen de controlar el arte; ahí filmó la que está considerada como su obra maestra: Les Enfants du paradis. Durante la década de 1950, el público francés empezó a pedir películas románticas y comedias, no gustaban los fragmentos de realidad que Carné seguía realizando. Con la llegada de la Nouvelle vague, las películas de Carné tuvieron menos éxito y muchas recibieron críticas negativas, tanto de la prensa como de la industria del cine. Carné realizó su última película en 1976. A finales de los años 1990, esta película fue considerada como la mejor película francesa del siglo en una votación en la que participaron 600 críticos y profesionales del cine francés.","",""
"MXIM-AV-1-4-6","CAPI Ámsterdam","Joris Ivens, Mannus H. K. Franken","","","Joris Ivens fue un realizador holandés de cine documental. Nació el 18 de noviembre de 1898 en Nimega, Países Bajos y murió el 28 de junio de 1989 en París; cursó sus primeros estudios en la escuela de economía de Róterdam. Lo influyeron las obras de Dziga Vértov, Serguéi Eisenstein y Robert Flaherty. En respuesta a una invitación de Vsévolod Pudovkin, hizo una gira de varios meses por la Unión Soviética en la que presentó sus películas. En 1933, junto al director Henri Storck, dirigió el documental activista Miseria al Borinage, que denuncia la miseria de los mineros y el salvajismo de la explotación proletaria; este filme fue prohibido por varios años. Durante la Guerra Civil Española realizó una de sus películas más célebres: Tierra de España (1937), en la que colaboraron Ernest Hemingway y Orson Welles. El cineasta, apodado «el holandés errante», aportó una mirada comprometida y poética del desarrollismo y sus desigualdades. Dedicó sus últimas películas a China. Ivens fue galardonado con el premio de la Paz Internacional en 1954 y el Premio Lenin en 1968. En 1990 se creó la fundación Joris Ivens en Nimega. Se casó con la cineasta Marceline Loridan-Ivens, colaboradora suya en muchas de sus obras. Está enterrado en el cementerio Montparnasse.","",""
"MXIM-AV-1-5-1","","","","","","",""
"MXIM-AV-1-5-2","Film Unit-GPO (General Post Office)","John Grierson","","La unidad productora fílmica de la Oficina Postal General (GPO, por sus siglas en inglés) del Reino Unido, fue creada por Sir Stephen Tallents en 1933, y tuvo como director a John Grierson hasta su desaparición en 1940. Uno de sus filmes más representativos es Night Mail, producido en 1936. En la creación de esta casa productora el principal objetivo fue estrechar la comunicación entre la administración gubernamental y la población. Finalmente, John Grierson, en conjunto con Benjamin Britten, W. H. Auden, William Coldstream, Humphrey Jennings y Alberto Cavalcanti, hicieron de esta empresa cinematográfica un proyecto experimental para la producción de lo que se conoce como filme-documental.","John Grierson (26 de abril de 1898 - 19 de febrero de 1972) fue uno de los primeros y más influyentes documentalistas de la historia del cine. Nació en Deanstown, Escocia; estudió comunicación en la Universidad de Glasgow; su primer trabajo cinematográfico fue Drifters (1929) acerca de los pescadores de Arenque en Inglaterra. El estreno de Drifters fue un gran éxito, se hizo con fondos de la Empire Marketing Board (EMB), la cual le solicitaría a Grierson continuar con su tarea como realizador, además se convirtió en el director de la Unidad de Filmes de la misma EMB. Grierson era una persona creativa, extremadamente organizada y disciplinada, por lo que se encargó de reclutar a un ejército de prospectos que impulsaron la Unidad de Filmes, personas con poca o ninguna experiencia y que, con el tiempo, se convirtieron en grandes directores del género documental; con sus películas, todos ayudaron a promover una nueva imagen de la clase trabajadora y su labor fue de importancia en el desarrollo industrial de Gran Bretaña. Grierson continuó a la cabeza de la Unidad de Filmes durante varios años donde se dio a conocer como el \"padrino del documental\". En 1933 la EMB desapareció y la Unidad de Filmes pasó a formar parte de la Oficina General de Correos convirtiéndose en la Unidad de Filmes de la Oficina General de Correos (GPO Film Unit), de la cual Grierson fue director hasta 1938; ese año fue invitado a Canadá por el mismo gobierno para formar un organismo nacional que realizara películas cinematográficas. Al año siguiente (1939) Canadá creó la Comisión Nacional de Filmes, que luego se convertiría en la Junta Nacional Fílmica del Canadá (National Film Board of Canada), de la cual Grierson fue su primer comisionado. Cuando Canadá entró en la II Guerra Mundial en el mismo año, la NFB se enfocó en la realización de filmes con fines propagandísticos, muchos de los cuales fueron dirigidos por el mismo Grierson. Después de la Guerra, los contenidos se enfocaron en la vida de los canadienses. La National Film Board of Canada es una institución reconocida mundialmente por su alta calidad, muchos de sus productos han ganado premios de la Academia. En 1957 Grierson recibió un reconocimiento especial en la ceremonia de premios de filmes de Canadá.","",""
"MXIM-AV-1-5-3","Reichspropagandaleitung der NSDAP, Leni Riefenstahl Produktion","Leni Riefenstahl, Adolfo Hitler","Universum Film (UFA), Tobis-Sascha Film-Vertrieb","La Oficina de Propaganda del Reich del Partido Nacional Socialista de los Trabajadores de Alemania (Reichspropagandaleitung der NSDAP) funcionó a partir de 1926 y hasta 1945; era la agencia responsable de supervisar, coordinar y unificar la propaganda del partido Nazi que circulaba en diversos medios de comunicación como la prensa, la radio y el cine y que se generaba en el interior de sus cuadros y organizaciones afiliados.","Leni Riefenstahl nació en Berlín, Alemania, el 22 de agosto de 1902, y falleció en el año de 2003, a la edad de 101 años. Su carrera artística empezó en el ámbito de la actuación, para después dedicarse a la dirección cinematográfica. En 1932 dirigió su primer filme que es La Luz Azul (Das Blaue Licht). Años más tarde, y gracias al apoyo de Joseph Goebbels, ministro de propaganda de la Alemania nazi, Riefenstahl fue contratada para realizar y dirigir una serie de documentales que daban cuenta del progreso del Partido Nacional Socialista de los Trabajadores de Alemania, y con ello la carrera política de Adolf Hitler; esta serie es conocida popularmente como La Trilogía de Nüremberg y está conformada por: Victoria de fe (Der Sieg des Glaubens, 1933), El triunfo de la voluntad (Triumph des Willens, 1934), y Día de libertad: Nuestras Fuerzas Armadas (Tag der Freiheit: Unsere Wehrmacht, 1935). Con el filme El triunfo de la voluntad, Riefenstahl obtuvo el Premio Nacional de Cinematografía, la medalla de oro en la bienal de Venecia y en la Exposición Universal de París en 1937. En 1936 dirigió y produjo Olympia, que es un registro documental de las Olimpiadas de Berlín efectuadas en ese mismo año; el filme se estrenó en pantalla dos años después, en 1938. Al término de la Segunda Guerra Mundial, Riefenstahl fue acusada por delitos de guerra, pero logró demostrar su inocencia. En 1954 estrenó un filme titulado Tierra baja; a partir de ese momento se dedicó a filmar y registrar el mundo subacuático.","",""
"MXIM-AV-1-5-4","British Commercial Gas Association (BCGA)","Arthur Elton y E.H. Anstey","","","El trabajo de E.H. Anstey dentro de la industria cinematográfica británica fue a la vez prolífico y significativo. Fue reclutado para establecer la Shell Film Unit en 1934, entonces ya había trabajado con Grierson en la Empire Marketing Board Film Unit, editando Industrial Britain de Robert Flaherty. Salió de Shell para trabajar con Arthur Elton en el seminal Housing Problems, que fue la película que dio forma a gran parte del documental de televisión en Gran Bretaña; también colaboró en Enough to Eat? Años de trabajo para March of Time y el Ministerio de Información durante la guerra, fueron seguidos por la creación, en 1949, del British Transport Films y, como consecuencia, una carrera como funcionario del cine británico. Anstey, al frente del BTF, fomentó el talento emergente y ganó numerosos premios, entre ellos un Oscar y el León de Oro en Venecia.","Donación","1999"
"MXIM-AV-1-5-5","","","","","","",""
"MXIM-AV-1-5-6","","Ramón Arsenio Acín Aquilué","Pierre Braunberger","","Luis Buñuel Portolés nació el 22 de febrero de 1900 en Calanda (Teruel, Aragón, España) y falleció el 29 de julio de 1983 en la Ciudad de México. Fue un director de cine español nacionalizado mexicano, considerado uno de los más importantes y originales en la historia del cine mundial. La gran mayoría de su obra fue realizada en México y en Francia. Entre 1929 y 1977 dirigió un total de 32 películas. En 1930 rodó Menjant garotes (\"Comiendo erizos\"), una película muda de únicamente cuatro minutos que tuvo como protagonista a la familia Dalí. En 1932 Buñuel se alejó de la corriente especulativa del surrealismo, y se aproximó a la facción comunista del movimiento. Colaboró con la Asociación de Escritores y Artistas Revolucionarios. En los meses de abril y mayo de 1932 rodó el documental Las Hurdes que fue prohibido por la censura de España por considerarlo denigrante para ese país. (Fuente: http://www.encomix.es/~espada/texto/lb.html)","Donación","1999"
"MXIM-AV-1-5-7","Film Unit-GPO (General Post Office)","Harry Watt, Basil Wright","","La unidad productora fílmica de la Oficina Postal General (GPO, por sus siglas en inglés) del Reino Unido, fue creada por Sir Stephen Tallents en 1933, y tuvo como director a John Grierson hasta su desaparición en 1940. Uno de sus filmes más representativos es Night Mail, producido en 1936. En la creación de esta casa productora el principal objetivo fue estrechar la comunicación entre la administración gubernamental y la población. Finalmente, John Grierson, en conjunto con Benjamin Britten, W. H. Auden, William Coldstream, Humphrey Jennings y Alberto Cavalcanti, hicieron de esta empresa cinematográfica un proyecto experimental para la producción de lo que se conoce como filme-documental.","Basil Wright nació en Inglaterra en 1907 y murió en 1987; fue un director de cine documental, historiador del cine, crítico y profesor. Fue el primero en unirse al grupo de John Grierson en la casa productora de la Empire Marketing Board (EMB) en 1930; inicialmente su trabajo consistió en editar el material filmográfico en base a los propósitos de la EMB, los cuales consistían en mostrar el rol de las colonias británicas en el desarrollo industrial y tecnológico del imperio. Wright estuvo a cargo de la edición de filmes como Conquest (1933), The country comes to Town (1931), Windmill in Barbados (1933), entre otros. En 1933 Grierson envió a Wright a realizar registros filmográficos a la isla de Ceylán (hoy Sri Lanka) en donde, en colaboración con John Taylor, realizó y dirigió The Song of Ceylon (1934), su película más aclamada. Después de este filme Wright se dedicó principalmente a la producción, campo en el que aportó su conocimiento en filmes como Night Mail (1936) y A diary for Timothy (1946). En 1937 fundó una casa productora independiente, la Realist Films, que apoyó sobre todo al filme documental y cuyo primer producto fue Children at School (1937), con el cual Wright documentó la situación de la educación en Gran Bretaña.","Donación","1999"
