"codigo_de_referencia","existencia_y_localizacion_de_copias","unidades_de_descripcion_relacionadas","documentos_asociados"
"MXIM-AV-1-4-1","","",""
"MXIM-AV-1-4-2","","",""
"MXIM-AV-1-4-3","","",""
"MXIM-AV-1-4-4","","",""
"MXIM-AV-1-4-5","","",""
"MXIM-AV-1-4-6","","",""
"MXIM-AV-1-5-1","","",""
"MXIM-AV-1-5-2","","",""
"MXIM-AV-1-5-3","","",""
"MXIM-AV-1-5-4","","",""
"MXIM-AV-1-5-5","","",""
"MXIM-AV-1-5-6","","",""
"MXIM-AV-1-5-7","","",""
"MXIM-AV-1-5-8","","",""
"MXIM-AV-1-5-9","","",""
"MXIM-AV-1-5-10","","",""
"MXIM-AV-1-5-11","","",""
"MXIM-AV-1-5-12","","",""
"MXIM-AV-1-5-13","","",""
"MXIM-AV-1-5-14","","Forma parte de la edición Fiestas cristianas y fiestas profanas, 1934-1935                                            MXIM-AV-1-12-4","http://www.valdelomar.com/inicio.php"
"MXIM-AV-1-5-16","","Forma parte de la edición Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen MXIM-AV-1-12-55",""
"MXIM-AV-1-6-1","","",""
"MXIM-AV-1-6-2","","",""
"MXIM-AV-1-6-3","","",""
"MXIM-AV-1-6-4","","",""
"MXIM-AV-1-6-5","","",""
"MXIM-AV-1-6-6","","",""
"MXIM-AV-1-6-7","","",""
"MXIM-AV-1-6-8","","",""
"MXIM-AV-1-6-9","","",""
"MXIM-AV-1-6-10","","",""
"MXIM-AV-1-6-11","","",""
"MXIM-AV-1-6-12","","",""
"MXIM-AV-1-6-13","","",""
"MXIM-AV-1-7-1","","",""
"MXIM-AV-1-7-2","","",""
"MXIM-AV-1-7-3","","",""
"MXIM-AV-1-7-4","","",""
"MXIM-AV-1-7-5","","",""
"MXIM-AV-1-7-6","","",""
"MXIM-AV-1-7-7","","",""
"MXIM-AV-1-7-8","","",""
"MXIM-AV-1-7-9","","",""
"MXIM-AV-1-7-10","","",""
"MXIM-AV-1-7-11","","Forma parte de la edición Obras documentais de Alain Resnais MXIM-AV-1-12-32",""
"MXIM-AV-1-7-12","","Forma parte de la edición Obras documentais de Alain Resnais MXIM-AV-1-12-32",""
"MXIM-AV-1-8-1","","",""
"MXIM-AV-1-8-2","","",""
"MXIM-AV-1-8-3","","",""
"MXIM-AV-1-8-4","","Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11",""
"MXIM-AV-1-8-6","","",""
"MXIM-AV-1-8-7","","",""
"MXIM-AV-1-8-8","","",""
"MXIM-AV-1-8-9","","",""
"MXIM-AV-1-8-10","","",""
"MXIM-AV-1-8-11","","",""
"MXIM-AV-1-8-12","","",""
"MXIM-AV-1-8-13","","",""
"MXIM-AV-1-8-14","","",""
"MXIM-AV-1-8-15","","",""
"MXIM-AV-1-8-16","","",""
"MXIM-AV-1-8-17","","",""
"MXIM-AV-1-8-18","","",""
"MXIM-AV-1-8-19","","Forma parte de la antología Documentales y cortometrajes de Werner Herzog MXIM-AV-1-12-208",""
"MXIM-AV-1-8-20","","",""
"MXIM-AV-1-8-21","","",""
"MXIM-AV-1-8-22","","",""
"MXIM-AV-1-8-23","","",""
"MXIM-AV-1-8-24","","",""
"MXIM-AV-1-8-25","","",""
"MXIM-AV-1-8-26","","",""
"MXIM-AV-1-8-27","","",""
"MXIM-AV-1-8-28","","Forma parte de la antología Documentales y cortometrajes de Werner Herzog MXIM-AV-1-12-208",""
"MXIM-AV-1-8-29","","Forma parte de la edición Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen MXIM-AV-1-12-55",""
"MXIM-AV-1-8-30","","",""
"MXIM-AV-1-8-31","","",""
"MXIM-AV-1-8-32","","",""
"MXIM-AV-1-8-33","","",""
"MXIM-AV-1-8-34","","",""
"MXIM-AV-1-9-1","","",""
"MXIM-AV-1-9-2","","",""
"MXIM-AV-1-9-3","","",""
"MXIM-AV-1-9-4","","",""
"MXIM-AV-1-9-5","","",""
"MXIM-AV-1-9-6","","",""
"MXIM-AV-1-9-7","","",""
"MXIM-AV-1-9-8","","","http://www.patricioguzman.com/index.php?page=films_dett&fid=1"
"MXIM-AV-1-9-9","","","http://www.patricioguzman.com/index.php?page=films_dett&fid=1"
"MXIM-AV-1-9-10","","",""
"MXIM-AV-1-9-11","","",""
"MXIM-AV-1-9-12","","",""
"MXIM-AV-1-9-13","","",""
"MXIM-AV-1-9-14","","",""
"MXIM-AV-1-9-15","","",""
"MXIM-AV-1-9-16","","",""
"MXIM-AV-1-9-17","","",""
"MXIM-AV-1-9-18","","",""
"MXIM-AV-1-9-19","","",""
"MXIM-AV-1-9-20","","",""
"MXIM-AV-1-9-21","","",""
"MXIM-AV-1-9-22","","",""
"MXIM-AV-1-9-23","","Forma parte de la antología Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen MXIM-AV-1-12-55",""
"MXIM-AV-1-9-24","","Forma parte de la antología Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen MXIM-AV-1-12-55",""
"MXIM-AV-1-9-25","","Forma parte de la antología  Documentales y cortometrajes de  Werner Herzog                        MXIM-AV-1-12-208",""
"MXIM-AV-1-9-26","","Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11",""
"MXIM-AV-1-9-27","","Forma parte de la antología Artavazd Pelechían: obra documental (1967-1994) MXIM-AV-1-11-11",""
"MXIM-AV-1-9-28","","",""
"MXIM-AV-1-9-29","","",""
"MXIM-AV-1-9-30","","","http://www.elmundo.es/elmundo/2012/04/20/cultura/1334915405.html"
