"codigo_de_referencia","titulo_propio","titulo_paralelo","titulo_atribuido","titulo_de_serie","numero_de_programa","pais","fecha","duracion","investigacion","realizacion","direccion","guion","adaptacion","idea_original","fotografia","fotografia_fija","edicion","sonido_grabacion","sonido_edicion","musica_original","musicalizacion","voces","actores","animacion","otros_colaboradores"
"MXIM-AV-1-10-1","FSLN: Victoria de un pueblo en armas","","","","","Nicaragua","1980","00:43:00","","Jorge Denti, Bertha Navarro, Carlos Vicente Ibarra","","Bertha Navarro, Carlos Ibarra","","","A. Fournier","","Sonia Fritz, Johnny Henderson, Mirita Lores","Nerio Barberis","","","","","","",""
"MXIM-AV-1-10-10","El papel de San Pablito","","","","","México","1981","00:36:00","Elías Margolis, Teresa Mendicutti,","Federico Weingartshofer","","","","","Federico Weingartshofer","Cecilia Portal","Federico Weingartshofer, Luis Kelly","Antonio Betancourt, Sibylle Hayem, Enrique \"Heini\" Kuhlmann","","TRIBU","","","","",""
"MXIM-AV-1-10-11","El Salvador: el pueblo vencerá","","","","","El Salvador","1980","01:17:00","","Diego de la Texera","","Diego de la Texera","","","Diego de la Texera","","Antonio Iglesias, Deborah Shaffer, Roberto Bravo, Luis Fuentes","Luis Fuentes","","Adrián Gorzueta","","Valentín Hernández, Carlos Álvarez, Maroldo, Alvaro, Chema","","",""
"MXIM-AV-1-10-12","El oficio de tejer","","","","","México","1981","00:42:00","","Juan Carlos Colín","","José Antonio Nava","","","Henner Hofmann","","Fernando Pardo","","","","","","","","Enrique García, Enrique Kulhman"
"MXIM-AV-1-10-13","Encuentro nacional de Jóvenes Indígenas","","","","","México","1985","00:22:00","","","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-14","Entre la presencia y el olvido","","","","","México","1988","00:33:00","","Claudio Rocha, Laila Heiblum","","","","","Guillermo Granillo","","Laila heiblum, Claudio Rocha","Ernesto Gaytan, Esteban Reyes","","Alejandro Giacoman","","Luis Lomelí","","","Asistentes de cámara: Jorge Medina, Xavier Pérez Grobet"
"MXIM-AV-1-10-15","Faits divers","Hechos Diversos","","","","Francia","1983","02:19:00","","Raymond Depardon","","","","","","","Francoise Prenant. Asistente de edición: Francois Margolin","","","","","","","",""
"MXIM-AV-1-10-16","From the Pole to the Equator","Del Polo al ecuador, Dall Polo all'Equatore","","","","Alemania oriental, Italia","1986","01:39:00","","Yervant Gianikian, Angela Ricci Lucchi","","","","","","","DA Pennebaker","","","","Keith Ullrich, Charles Anderson","","","",""
"MXIM-AV-1-10-17","Jornaleros del tiempo","","","","","México","1987","00:28:30","Everardo Garduño, Patricia Morán, Efraín García, Angélica Beissel","César Ramírez M.","","César Ramírez M., Guillermo Monteforte","","","Guillermo Monteforte","","Héctor Rivas, Rodrigo Rivas","","Sandra Luz Aguilar","","","Laura Luengas","","","Asistente: Héctor Rivas"
"MXIM-AV-1-10-18","Koyaanisqatsi: life out of the balance","Koyaanisqatsi: Vida fuera de equilibrio","","","","Estados Unidos","1983","01:22:33","","Godfrey Reggio","","","","","Ron Fricke","","Alton Alpole, Ron Fricke","Michael Stocker","David Rivas","","Philip Glass","","","",""
"MXIM-AV-1-10-19","La cultura del caracol púrpura como patrimonio nacional","","","","","México","1988","00:52:44","","","","","","","","","","","","","","Charles Oppenheim","","",""
"MXIM-AV-1-10-2","Antonio Gaudí","","","","","Japón","1984","01:13:00","","Hiroshi Teshigahara","Hiroshi Teshigahara","","","","Junichi Segawa, Yoshikazu Yanagida, Ryu Segawa","","Hiroshi Teshigahara","Koji Asari","Eiko Yoshida","Toru Takemitsu","Kurodo Mouri, Shinji Hori","Seiji Miyaguchi","","","Entrevistado: Isidro Puig Boada"
"MXIM-AV-1-10-20","La decisión de vencer (Los primeros frutos)","","","","","El Salvador","1981","01:15:00","","Cero a la izquierda","","Cero a la izquierda","","","Cero a la izquierda","","Cero a la izquierda","Cero a la izquierda","Cero a la izquierda","","Los toroces de Morazán","","","",""
"MXIM-AV-1-10-21","La neta no hay futuro","","","","","México","1988","01:46:00","","Claudio Rocha, Andrea Gentile","","","","","Xavier Pérez Grobet","","Menahen Peña, Andrea Gentile","","","","","","","","Asistentes: Jorge Medina, Guillermo Granillo, Moisés Ortíz Urquidi, Antonio Diego, Alejandro Caballero"
"MXIM-AV-1-10-22","La república perdida II","","","El cine del mundo","","Argentina","1986","02:20:00","Ana María Monaco, Carlos Miglioranza","Miguel Pérez","","Miguel Pérez","","","Andrés Silvart, Rodolfo Denevi","Jorge Pinasco","Luis Mutti, Miguel Pérez","Abelardo Kuschnir","","","Luis María Serra","Aldo Basrbero, Rita Cortese","","José León, Jorge Somma",""
"MXIM-AV-1-10-23","Laguna de dos tiempos","","","","","México","1982","01:46:00","Eduardo Maldonado, Diana Roldán, Manuel Uribe, Victoria Novello, Raúl Santoyo","Eduardo Maldonado","","","","","Francisco Bojórquez","","Tere Moreno","","","","","Jorge Humberto Robles","","","Coordinadores de producción: Coca Gaxiola, Saúl Serrano, Asistente de dirección: Mariana de Llaca, Asistente de producción: José Ávila"
"MXIM-AV-1-10-24","Laguna del Ostión. Acayucan, Ver.","","","","","México","1982","00:19:00","","","","","","","","","","","","","","","","",""
"MXIM-AV-1-10-25","Lenguaje audiovisual","","","","","España","1988","01:36:15","Luis Matilla, Juana Aguilar","Manuel Valdivia","Agustín G. Matilla","Manuel Valdivia","","","Juan Molina","","Luis Méndez","","","","Rafael Liñán","","","Amador Méndez, Luis Méndez, Pedro Riera","Locutor: Luis Poncar"
"MXIM-AV-1-10-26","Malcolm Lowry en México","","","","","México","1987","00:54:00","","Oscar Menéndez","Oscar Menéndez","Miriam Ruvinskins, Oscar Menéndez","","","Roberto López Márquez","","José Luis Almeida","","","Grupo Crisol","","","","",""
"MXIM-AV-1-10-27","Mara'acame. Cantador y curandero","","","","","México","1982","00:47:00","Antonio Fernández T., Rocío Echevarría O.","Juan Francisco Urrusti A.","","Juan Francisco Urrusti A.","","","Mario Luna G.","","Fernando Pardo","","","","","","","","Asistente investigación: Gerardo Noria"
