"codigo_de_referencia","area_de_notas"
"MXIM-AV-1-4-1",""
"MXIM-AV-1-4-2","Hay dos dvds, el tono en el que se ven es virado a azul. http://metamentaldoc.com/ft_grierson.pdf "
"MXIM-AV-1-4-3","Se encuentra en línea con buena resolución: https://www.youtube.com/watch?v=CRssZLdJAvA"
"MXIM-AV-1-4-4","El DVD esta en español y el VHS en inglés. Existe otra versión, que además incluye un prefacio donde se narra cómo fue filmada."
"MXIM-AV-1-4-5","En el mismo DVD, se encuentran tres títulos \"A Valparaíso\" 26'38'', Nogent 14'57'' y Van Gogh 17'55''"
"MXIM-AV-1-4-6",""
"MXIM-AV-1-5-1",""
"MXIM-AV-1-5-2",""
"MXIM-AV-1-5-3",""
"MXIM-AV-1-5-4",""
"MXIM-AV-1-5-5",""
"MXIM-AV-1-5-6",""
"MXIM-AV-1-5-7","El dvd contiene además un documental \"Des idees, des hommes, des ouvres\" con duración de 30'"
"MXIM-AV-1-5-8",""
"MXIM-AV-1-5-9",""
"MXIM-AV-1-5-10","Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 946.077 TIE.e"
"MXIM-AV-1-5-11",""
"MXIM-AV-1-5-12",""
"MXIM-AV-1-5-13","Falla entre el minuto 19:40 y 24:00 se interrumpe la reproducción, reanudar la reproducción despues de ese minuto, manualmente"
"MXIM-AV-1-5-14","Películas restauradas por la Dirección de Proyectos e Iniciativas Culturales. Consejería de Presidencia. Comunidad Autónoma Región de Murcía y \"MURCIA CULTURAL, S.A.\" De 1931 a 1935 Val del Omar realizó centenares de fotografías y decenas de películas documentales sobre la labor de las MISIONES PEDAGÓGICAS y su MUSEO DEL PUEBLO. Muchas de las fotografías  fueron publicadas en las Memorias del Patronato de Misiones y en la revista de la Residencia de Estudiantes pero casi todas las películas están todavía desaparecidas.  Cristóbal Simancas, ayudante y amigo de Val del Omar, conservó durante toda su vida las copias en positivo directo de este valioso material. Estas copias han subsistido a distintas etapas históricas y geográficas: desde la guerra civil en Madrid, la larga estancia de Simancas en Caracas (Venezuela) y finalmente su retiro en La Nucia (Alicante). En 1994 Cristóbal Simancas las donó a María José Val Del Omar a cuyo recuerdo está dedicada esta restauración. Los audiovisuales  no se encuentran físicamente"
"MXIM-AV-1-5-16","No se encuentra físicamente"
"MXIM-AV-1-6-1",""
"MXIM-AV-1-6-2",""
"MXIM-AV-1-6-3","Virado a verde"
"MXIM-AV-1-6-4","http://www.divxclasico.com/foro/viewtopic.php?t=25213"
"MXIM-AV-1-6-5",""
