"codigo_de_referencia","condiciones_de_acceso","existencia_y_localizacion_de_originales","idioma_original","doblajes_disponibles","subtitulajes","soporte","numero_copias","descripcion_fisica","color","audio","sistema_de_grabacion","region_dvd","requisitos_tecnicos"
"MXIM-AV-1-13-1","Usos reservados para consulta in situ","LAIS, INCIDE","Español","","","DVD","1 dvd","Copia de producción","Color","Estéreo 2.0","NTSC","Multiregión","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-10","Usos reservados para consulta in situ","","Español, mazateco, lenguaje de señas","","Español","DVD","2 dvd ","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-11","Usos reservados para consulta in situ","","Español. Lenguaje de señas","","","DVD","2 dvd ","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-12","Usos reservados para consulta in situ","","Español. Lenguaje de señas","","","DVD","2 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-13","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-14","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","2 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-15","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-16","Usos reservados para consulta in situ","","Español","","","DVD / VHS","1 vhs / 1 dvd","Copia","Color","","","","Reproductor DVD / VHS  y monitor TV"
"MXIM-AV-1-13-17","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia de producción","Colo, blanco y negro","","NTSC","","Reproductor DVD y monitor TV"
"MXIM-AV-1-13-18","Usos reservados para consulta in situ","","Español","","","DVD","2 dvd","Copia de producción","Colo, blanco y negro","","NTSC","Región 4","Reproductor DVD y monitor TV"
"MXIM-AV-1-13-19","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia de producción","Color","","","","Reproductor DVD y monitor TV"
"MXIM-AV-1-13-2","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","3 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-20","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-21","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-22","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-23","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-24","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-25","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-26","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-27","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-28","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-29","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-3","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","2 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-30","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-31","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-13-32","Usos reservados para consulta in situ","","Español, lenguaje de señas","","","DVD","1 dvd","Copia de producción","Color","","NTSC","","Reproductor DVD y monitor de TV"
