"codigo_de_referencia","entidad_productora","productor","distribuidora","historia_institucional","resena_biografica","forma_de_ingreso","fecha_de_ingreso"
"MXIM-AV-1-13-1","INCIDE Social A.C., Laboratorio Audiovisual de Investigación Social, Instituto Mora, CONACyT","","","Instituto Mora/LAIS. El Instituto Mora es una institución pública, centro CONACyT, dedicada a la investigación y docencia en historia y ciencias sociales. Se fundó en 1981, cuenta con una planta permanente de investigadores en diversas disciplinas y líneas de investigación e imparte diversos posgrados. En 1993, en el área de Historia Oral, comienza la producción audiovisual, con el documental Un pueblo en la memoria. Desde entonces el Instituto ha seguido produciendo documental a partir de los resultados de diversas investigaciones. En el 2000 se conforma el Laboratorio Audiovisual de Investigación Social (LAIS), donde se ha seguido realizando documental, en el marco de su objetivo central: desarrollar investigación social con y sobre imágenes de los siglos XIX a XXI. A la fecha el Instituto ha producido: Un pueblo en la memoria, Tradición o modernidad: reto de una generación, El buen restaurador ama lo antiguo, Cuando la rumba nos conoció, Mi Multi es mi Multi, Km. C-62 Un nómada del riel, El arte de hacer ciudad, De dolor y esperanza, Revelando el rollo. Los usos de lo visual en la investigación social, El triángulo de Tacubaya, Ciudad Olimpia. El año en que fuimos modernos y De la tele a la boca. Una reflexión sobre desarrollo infantil y televisión. (LAIS)                                                                                      www.mora.edu.mx                                                                                                                                                                           INCIDE Social. Iniciativa Ciudadana y Desarrollo Social, INCIDE Social, A. C., es una asociación civil sin fines de lucro, constituida por personas con experiencia en el ámbito académico, la investigación y el activismo civil, que decidieron organizarse para promover una serie de valores y principios que compartían respecto de la democracia, la justicia, la responsabilidad social del Estado y la participación ciudadana. http://www.incidesocial.org/","http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html","Producción propia del LAIS","2011"
"MXIM-AV-1-13-10","Consejo Nacional para Prevenir la Discriminación (CONAPRED), Canal 22","Emilio Castillo, […]uc Sáez","","Canal 22.  Es una institución dependiente de la Secretaría de Educación Pública y del Consejo Nacional para la Cultura y las Artes. Fue creada en respuesta a solicitud de más de 1,200 integrantes de la comunidad cultural y artística de México para que el gobierno del país impulsara la existencia de una televisora cuyos contenidos procuraran la difusión de las principales manifestaciones del arte y la cultura y que, al mismo tiempo, permitieran el desarrollo de un nuevo lenguaje audiovisual en la producción televisiva mexicana. http://corporativo.canal22.org.mx/?seccion=6\
\
CONAPRED. El Consejo Nacional para Prevenir La Discriminación, CONAPRED, es un órgano de Estado creado por la Ley Federal para Prevenir y Eliminar la Discriminación, aprobada el 29 de abril de 2003, y publicada en el Diario Oficial de la Federación (DOF) el 11 de Junio del mismo año. El Consejo es la institución rectora para promover políticas y medidas tendientes a contribuir al desarrollo cultural y social y avanzar en la inclusión social y garantizar el derecho a la igualdad, que es el primero de los derechos fundamentales en la Constitución Federal. El CONAPRED también se encarga de recibir y resolver las reclamaciones y quejas por presuntos actos discriminatorios cometidos por particulares o por autoridades federales en el ejercicio de sus funciones. Asimismo, el CONAPRED desarrolla acciones para proteger a todos los ciudadanos y las ciudadanas de toda distinción o exclusión basada en el origen étnico o nacional, sexo, edad, discapacidad, condición social o económica, condiciones de salud, embarazo, lengua, religión, opiniones, preferencias sexuales, estado civil o cualquier otra, que impida o anule el reconocimiento o el ejercicio de los derechos y la igualdad real de oportunidades de las personas (artículo 4º Ley Federal para Prevenir la Discriminación). Esta entidad cuenta con personalidad jurídica y patrimonio propios, y está sectorizada a la Secretaría de Gobernación. Además, goza de autonomía técnica y de gestión, adopta sus decisiones con plena independencia, y no está subordinado a ninguna autoridad para sus resoluciones en los procedimientos de reclamaciones o quejas. (artículo 16 de la Ley Federal para Prevenir y Eliminar la Discriminación). http://www.conapred.org.mx/index.php?contenido=pagina&id=38&id_opcion=15&op=15","Víctor Ronquillo. Nació en la ciudad de México el 27 de agosto de 1957. Cronista, narrador y poeta. Estudió lengua y literatura hispánicas en la FFyL de la UNAM. Ha sido reportero en la sección cultural de El Nacional; jefe de información y guionista del programa televisivo “Expediente 13/22:30” de C-13; reportero de canal 40; reportero de asuntos especiales de El Universal y de Milenio Semanal; coordinador de información del programa de televisión “Punto de Partida”; colaborador del noticiero “Pulso” de Radio Educación y de Grupo Informativo Imagen, de radio. Cronista de Memoria de Papel. Colaborador de Casa del Tiempo, Diálogos, El Nacional, El Universal, Encuentro, La Orquesta, La Palabra y El Hombre Memoria de Papel, México en el Arte, Punto, Reforma, Siempre!, y Unomásuno. Becario del INBA, 1984, y del CME, 1987. Finalista de Premio Rodulfo Walsh de la Semana Negra en Gijón, España, en 1994, por La muerte viste de rosa. Finalista en dos ocasiones del Premio Salvador Novo que convocan el GDD y la UAM.  http://www.literatura.bellasartes.gob.mx/acervos/index.php/catalogo-biobibliografico/1424?showall=1","Donación","2011"
"MXIM-AV-1-13-11","Consejo Nacional para Prevenir la Discriminación (CONAPRED), Canal 22","","","Canal 22.  Es una institución dependiente de la Secretaría de Educación Pública y del Consejo Nacional para la Cultura y las Artes. Fue creada en respuesta a solicitud de más de 1,200 integrantes de la comunidad cultural y artística de México para que el gobierno del país impulsara la existencia de una televisora cuyos contenidos procuraran la difusión de las principales manifestaciones del arte y la cultura y que, al mismo tiempo, permitieran el desarrollo de un nuevo lenguaje audiovisual en la producción televisiva mexicana. http://corporativo.canal22.org.mx/?seccion=6\
\
CONAPRED. El Consejo Nacional para Prevenir La Discriminación, CONAPRED, es un órgano de Estado creado por la Ley Federal para Prevenir y Eliminar la Discriminación, aprobada el 29 de abril de 2003, y publicada en el Diario Oficial de la Federación (DOF) el 11 de Junio del mismo año. El Consejo es la institución rectora para promover políticas y medidas tendientes a contribuir al desarrollo cultural y social y avanzar en la inclusión social y garantizar el derecho a la igualdad, que es el primero de los derechos fundamentales en la Constitución Federal. El CONAPRED también se encarga de recibir y resolver las reclamaciones y quejas por presuntos actos discriminatorios cometidos por particulares o por autoridades federales en el ejercicio de sus funciones. Asimismo, el CONAPRED desarrolla acciones para proteger a todos los ciudadanos y las ciudadanas de toda distinción o exclusión basada en el origen étnico o nacional, sexo, edad, discapacidad, condición social o económica, condiciones de salud, embarazo, lengua, religión, opiniones, preferencias sexuales, estado civil o cualquier otra, que impida o anule el reconocimiento o el ejercicio de los derechos y la igualdad real de oportunidades de las personas (artículo 4º Ley Federal para Prevenir la Discriminación). Esta entidad cuenta con personalidad jurídica y patrimonio propios, y está sectorizada a la Secretaría de Gobernación. Además, goza de autonomía técnica y de gestión, adopta sus decisiones con plena independencia, y no está subordinado a ninguna autoridad para sus resoluciones en los procedimientos de reclamaciones o quejas. (artículo 16 de la Ley Federal para Prevenir y Eliminar la Discriminación). http://www.conapred.org.mx/index.php?contenido=pagina&id=38&id_opcion=15&op=15","Víctor Ronquillo. Nació en la ciudad de México el 27 de agosto de 1957. Cronista, narrador y poeta. Estudió lengua y literatura hispánicas en la FFyL de la UNAM. Ha sido reportero en la sección cultural de El Nacional; jefe de información y guionista del programa televisivo “Expediente 13/22:30” de C-13; reportero de canal 40; reportero de asuntos especiales de El Universal y de Milenio Semanal; coordinador de información del programa de televisión “Punto de Partida”; colaborador del noticiero “Pulso” de Radio Educación y de Grupo Informativo Imagen, de radio. Cronista de Memoria de Papel. Colaborador de Casa del Tiempo, Diálogos, El Nacional, El Universal, Encuentro, La Orquesta, La Palabra y El Hombre Memoria de Papel, México en el Arte, Punto, Reforma, Siempre!, y Unomásuno. Becario del INBA, 1984, y del CME, 1987. Finalista de Premio Rodulfo Walsh de la Semana Negra en Gijón, España, en 1994, por La muerte viste de rosa. Finalista en dos ocasiones del Premio Salvador Novo que convocan el GDD y la UAM.  http://www.literatura.bellasartes.gob.mx/acervos/index.php/catalogo-biobibliografico/1424?showall=1","Donación","2011"
"MXIM-AV-1-13-12","Consejo Nacional para Prevenir la Discriminación (CONAPRED), Canal 22","Emilio Castillo","","Canal 22.  Es una institución dependiente de la Secretaría de Educación Pública y del Consejo Nacional para la Cultura y las Artes. Fue creada en respuesta a solicitud de más de 1,200 integrantes de la comunidad cultural y artística de México para que el gobierno del país impulsara la existencia de una televisora cuyos contenidos procuraran la difusión de las principales manifestaciones del arte y la cultura y que, al mismo tiempo, permitieran el desarrollo de un nuevo lenguaje audiovisual en la producción televisiva mexicana. http://corporativo.canal22.org.mx/?seccion=6\
\
CONAPRED. El Consejo Nacional para Prevenir La Discriminación, CONAPRED, es un órgano de Estado creado por la Ley Federal para Prevenir y Eliminar la Discriminación, aprobada el 29 de abril de 2003, y publicada en el Diario Oficial de la Federación (DOF) el 11 de Junio del mismo año. El Consejo es la institución rectora para promover políticas y medidas tendientes a contribuir al desarrollo cultural y social y avanzar en la inclusión social y garantizar el derecho a la igualdad, que es el primero de los derechos fundamentales en la Constitución Federal. El CONAPRED también se encarga de recibir y resolver las reclamaciones y quejas por presuntos actos discriminatorios cometidos por particulares o por autoridades federales en el ejercicio de sus funciones. Asimismo, el CONAPRED desarrolla acciones para proteger a todos los ciudadanos y las ciudadanas de toda distinción o exclusión basada en el origen étnico o nacional, sexo, edad, discapacidad, condición social o económica, condiciones de salud, embarazo, lengua, religión, opiniones, preferencias sexuales, estado civil o cualquier otra, que impida o anule el reconocimiento o el ejercicio de los derechos y la igualdad real de oportunidades de las personas (artículo 4º Ley Federal para Prevenir la Discriminación). Esta entidad cuenta con personalidad jurídica y patrimonio propios, y está sectorizada a la Secretaría de Gobernación. Además, goza de autonomía técnica y de gestión, adopta sus decisiones con plena independencia, y no está subordinado a ninguna autoridad para sus resoluciones en los procedimientos de reclamaciones o quejas. (artículo 16 de la Ley Federal para Prevenir y Eliminar la Discriminación). http://www.conapred.org.mx/index.php?contenido=pagina&id=38&id_opcion=15&op=15","Víctor Ronquillo. Nació en la ciudad de México el 27 de agosto de 1957. Cronista, narrador y poeta. Estudió lengua y literatura hispánicas en la FFyL de la UNAM. Ha sido reportero en la sección cultural de El Nacional; jefe de información y guionista del programa televisivo “Expediente 13/22:30” de C-13; reportero de canal 40; reportero de asuntos especiales de El Universal y de Milenio Semanal; coordinador de información del programa de televisión “Punto de Partida”; colaborador del noticiero “Pulso” de Radio Educación y de Grupo Informativo Imagen, de radio. Cronista de Memoria de Papel. Colaborador de Casa del Tiempo, Diálogos, El Nacional, El Universal, Encuentro, La Orquesta, La Palabra y El Hombre Memoria de Papel, México en el Arte, Punto, Reforma, Siempre!, y Unomásuno. Becario del INBA, 1984, y del CME, 1987. Finalista de Premio Rodulfo Walsh de la Semana Negra en Gijón, España, en 1994, por La muerte viste de rosa. Finalista en dos ocasiones del Premio Salvador Novo que convocan el GDD y la UAM.  http://www.literatura.bellasartes.gob.mx/acervos/index.php/catalogo-biobibliografico/1424?showall=1","Donación","2011"
"MXIM-AV-1-13-13","Ojo de Agua Comunicación, Centro de Derechos Indígens \"Flor y Canto\" A.C.","","","","","",""
"MXIM-AV-1-13-14","Consejo Nacional para Prevenir la Discriminación (CONAPRED), Canal 22","","","Canal 22.  Es una institución dependiente de la Secretaría de Educación Pública y del Consejo Nacional para la Cultura y las Artes. Fue creada en respuesta a solicitud de más de 1,200 integrantes de la comunidad cultural y artística de México para que el gobierno del país impulsara la existencia de una televisora cuyos contenidos procuraran la difusión de las principales manifestaciones del arte y la cultura y que, al mismo tiempo, permitieran el desarrollo de un nuevo lenguaje audiovisual en la producción televisiva mexicana. http://corporativo.canal22.org.mx/?seccion=6\
\
CONAPRED. El Consejo Nacional para Prevenir La Discriminación, CONAPRED, es un órgano de Estado creado por la Ley Federal para Prevenir y Eliminar la Discriminación, aprobada el 29 de abril de 2003, y publicada en el Diario Oficial de la Federación (DOF) el 11 de Junio del mismo año. El Consejo es la institución rectora para promover políticas y medidas tendientes a contribuir al desarrollo cultural y social y avanzar en la inclusión social y garantizar el derecho a la igualdad, que es el primero de los derechos fundamentales en la Constitución Federal. El CONAPRED también se encarga de recibir y resolver las reclamaciones y quejas por presuntos actos discriminatorios cometidos por particulares o por autoridades federales en el ejercicio de sus funciones. Asimismo, el CONAPRED desarrolla acciones para proteger a todos los ciudadanos y las ciudadanas de toda distinción o exclusión basada en el origen étnico o nacional, sexo, edad, discapacidad, condición social o económica, condiciones de salud, embarazo, lengua, religión, opiniones, preferencias sexuales, estado civil o cualquier otra, que impida o anule el reconocimiento o el ejercicio de los derechos y la igualdad real de oportunidades de las personas (artículo 4º Ley Federal para Prevenir la Discriminación). Esta entidad cuenta con personalidad jurídica y patrimonio propios, y está sectorizada a la Secretaría de Gobernación. Además, goza de autonomía técnica y de gestión, adopta sus decisiones con plena independencia, y no está subordinado a ninguna autoridad para sus resoluciones en los procedimientos de reclamaciones o quejas. (artículo 16 de la Ley Federal para Prevenir y Eliminar la Discriminación). http://www.conapred.org.mx/index.php?contenido=pagina&id=38&id_opcion=15&op=15","Víctor Ronquillo. Nació en la ciudad de México el 27 de agosto de 1957. Cronista, narrador y poeta. Estudió lengua y literatura hispánicas en la FFyL de la UNAM. Ha sido reportero en la sección cultural de El Nacional; jefe de información y guionista del programa televisivo “Expediente 13/22:30” de C-13; reportero de canal 40; reportero de asuntos especiales de El Universal y de Milenio Semanal; coordinador de información del programa de televisión “Punto de Partida”; colaborador del noticiero “Pulso” de Radio Educación y de Grupo Informativo Imagen, de radio. Cronista de Memoria de Papel. Colaborador de Casa del Tiempo, Diálogos, El Nacional, El Universal, Encuentro, La Orquesta, La Palabra y El Hombre Memoria de Papel, México en el Arte, Punto, Reforma, Siempre!, y Unomásuno. Becario del INBA, 1984, y del CME, 1987. Finalista de Premio Rodulfo Walsh de la Semana Negra en Gijón, España, en 1994, por La muerte viste de rosa. Finalista en dos ocasiones del Premio Salvador Novo que convocan el GDD y la UAM.  http://www.literatura.bellasartes.gob.mx/acervos/index.php/catalogo-biobibliografico/1424?showall=1","Donación","2011"
"MXIM-AV-1-13-15","Universidad Nacional Autónoma de México (UNAM), Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades, Colegio de México (COLMEX)","","CEIICH-UNAM","","","",""
"MXIM-AV-1-13-16","Instituto Cubano del Arte e Industria Cinematográfica (ICAIC)","Carlos de la Huerta","","Instituto Cubano del Arte e Industria Cinematográficos (ICAIC). Mayor y más importante institución productora del cine cubano.El ICAIC fue fundado en marzo de 1959, apenas tres meses después del triunfo revolucionario del Primero de Enero. En la ley que estipulaba su creación (la primera en el orden cultural que dictaba el gobierno de Fidel Castro) se calificaba al cine como «el más poderoso y sugestivo medio de expresión artística y el más directo y extendido vehículo de educación y popularización de las ideas», lo cual evidencia el interés político y educativo que dominó su fundación. Algunos hitos dentro del mundo cultural cubano prerrevolucionario sirvieron de antecedentes para la creación de una institución de fomento del cine nacional: el Cine Club de La Habana, la labor educativa de José Manuel Valdés Rodríguez, el Cine Club Católico, y el quehacer de empresarios como Mario Barral y de cineastas como Ramón Peón. Pero, indudablemente, la institución más influyente en este sentido fue la Sociedad Cultural Nuestro Tiempo, de la que formaban parte artistas e intelectuales de filiación comunista, muchos de los cuales pasarían a integrar la membresía del ICAIC (como Tomás Gutiérrez Alea y Julio García Espinosa).El objetivo declarado de la fundación del ICAIC radicó, pues, en la creación de una cinematografía nacional, opuesta a la norma hollywoodense, y el empeño en formar un gran público, competente en materia de cine. Como presidente fue designado el intelectual Alfredo Guevara. http://www.encaribe.org/Article/instituto-cubano-del-arte-e-industria-cinematograficos-icaic","Marilyn Solaya nació el 6 de agosto de 1970. Graduada de la especialidad de Dirección de la Facultad de los Medios de Comunicación Audiovisual, del Instituto Superior de Arte (Isa), con sede en la capital de Cuba, antes había culminado estudios de Dirección de Teatro, en la Escuela Nacional de Arte. Comenzó en el cine como actriz, al interpretar el personaje de Vivian, la novia de David en el filme cubano Fresa y chocolate, de los directores Tomás Gutiérrez Alea y Juan Carlos Tabío (1993). Trabajó también en la película argentina Despabílate amor (1996), de Eliseo Subiela; en la canadiense Omerta III, La Ley del silencio; y en la chilena Sensible, de Francisco Hervé, ambas de 1998. http://www.ipscuba.net/index.php?option=com_k2&view=item&id=3291:marilyn-solaya-el-camino-de-una-directora&Itemid=11","Donación","2011"
"MXIM-AV-1-13-17","Instituto de Investigaciones Dr. José María Luis Mora, Laboratorio Audiovisual de Investigación Social (LAIS)","","","El Instituto Mora es una institución pública, centro CONACyT, dedicada a la investigación y docencia en historia y ciencias sociales. Se fundó en 1981, cuenta con una planta permanente de investigadores en diversas disciplinas y líneas de investigación e imparte diversos posgrados. En 1993, en el área de Historia Oral, comienza la producción audiovisual, con el documental Un pueblo en la memoria. Desde entonces el Instituto ha seguido produciendo documental a partir de los resultados de diversas investigaciones. En el 2000 se conforma el Laboratorio Audiovisual de Investigación Social (LAIS), donde se ha seguido realizando documental, en el marco de su objetivo central: desarrollar investigación social con y sobre imágenes de los siglos XIX a XXI. A la fecha el Instituto ha producido: Un pueblo en la memoria, Tradición o modernidad: reto de una generación, El buen restaurador ama lo antiguo, Cuando la rumba nos conoció, Mi Multi es mi Multi, Km. C-62 Un nómada del riel, El arte de hacer ciudad, De dolor y esperanza, Revelando el rollo. Los usos de lo visual en la investigación social, El triángulo de Tacubaya, Ciudad olimpia. El año en que fuimos modernos y De la tele a la boca. Una reflexión sobre desarrollo infantil y televisión. (LAIS) www.mora.edu.mx","Ana Buriano. Historiadora y Doctora en Estudios Latinoamericanos por la Universidad Nacional Autónoma de México. Forma parte del Sistema Nacional de Investigadores. Sus primeras investigaciones analizaron el golpe de Estado en Uruguay, recientemente examina el pensamiento político latinoamericano en el siglo XIX, con especialidad en el pensamiento conservador ecuatoriano. Es docente a nivel superior de historia de América Latina siglo XIX y dirige seminarios de tesis. Entre sus publicaciones sobresalen: Navegando en la borrasca: construir la nación de la fe en el mundo de la impiedad.  Ecuador, 1860-1875; El “espíritu nacional” del Ecuador católico: textos selectos de El Nacional, 1872-1875;  \"La construcción historiográfica de la nación ecuatoriana en los textos tempranos\" y el documental Más allá del reglamento: los avatares de un embajador mexicano.\
 http://www.mora.edu.mx/anaburiano/SitePages/Inicio1.aspx                                                                                                         Silvia Dutrénit. Historiadora y latinoamericanista. Pertenece a los Sistemas Nacionales de Investigadores de México y Uruguay y a la Academia Mexicana de Ciencias. Se especializa en la historia reciente de América Latina (en particular, historia política de los autoritarismos y las transiciones a la democracia, migraciones políticas: asilo y exilio, decisiones gubernamentales sobre violaciones de derechos humanos en el pasado), campo sobre el que publica habitualmente artículos en revistas y libros. Docente y conferencista en distintas instituciones mexicanas y extranjeras. Entre sus últimas publicaciones destaca: La Embajada Indoblegable. Asilo mexicano en Montevideo durante la dictadura y Tramitando el pasado. Violaciones de los derechos humanos y agendas gubernamentales en coautoría con Gonzalo Varela. Ha realizado documentales sobre asilo y exilio. http://www.mora.edu.mx/silviadutrenit/SitePages/Inicio1.aspx                                                                                                            Carlos Hernández. ","Producción LAIS","2011"
