"codigo_de_referencia","notas_del_archivero","datos_del_archivero","reglas_o_normas","fecha_de_descripcion"
"MXIM-AV-1-13-1","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-11-28"
"MXIM-AV-1-13-10","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-14"
"MXIM-AV-1-13-11","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-20"
"MXIM-AV-1-13-12","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-20"
"MXIM-AV-1-13-13","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-08-21"
"MXIM-AV-1-13-14","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-20"
"MXIM-AV-1-13-15","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-21"
"MXIM-AV-1-13-16","http://www.doctvlatinoamerica.org/es/doctv-II/en-el-cuerpo-equivocado","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-11-27"
"MXIM-AV-1-13-17","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-22"
"MXIM-AV-1-13-18","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-22"
"MXIM-AV-1-13-19","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-11-26"
"MXIM-AV-1-13-2","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-08"
"MXIM-AV-1-13-20","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-01"
"MXIM-AV-1-13-21","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-01"
"MXIM-AV-1-13-22","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-03"
"MXIM-AV-1-13-23","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-03"
"MXIM-AV-1-13-24","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-03"
"MXIM-AV-1-13-25","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-03"
"MXIM-AV-1-13-26","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-03"
"MXIM-AV-1-13-27","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-04"
"MXIM-AV-1-13-28","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-04"
"MXIM-AV-1-13-29","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-04"
"MXIM-AV-1-13-3","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-08"
"MXIM-AV-1-13-30","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-05"
"MXIM-AV-1-13-31","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-05"
"MXIM-AV-1-13-32","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-04-06"
"MXIM-AV-1-13-33","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-08"
"MXIM-AV-1-13-34","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-02-22"
"MXIM-AV-1-13-35","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-02-26"
"MXIM-AV-1-13-36","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-21"
"MXIM-AV-1-13-37","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-11-26"
"MXIM-AV-1-13-38","","Úrsula Mares","Adaptación de la norma ISAD (G)","2012-09-07"
"MXIM-AV-1-13-39","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-02-26"
"MXIM-AV-1-13-4","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-14"
"MXIM-AV-1-13-40","\"Las manos en la tierra de Virgina Martínez\", en: http://www.casadefranciadigital.org.mx/agendacultural_det.php?i=2198&f=  \"Las manos en la tierra\", doctv Latinoamérica segunda edición, en: http://www.doctvlatinoamerica.org/es/doctv-II/las-manos-en-la-tierra","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-07"
"MXIM-AV-1-13-41","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-06"
"MXIM-AV-1-13-42","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-08-26"
"MXIM-AV-1-13-43","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-08-22"
"MXIM-AV-1-13-44","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-11-08"
"MXIM-AV-1-13-45","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-07-14"
"MXIM-AV-1-13-46-1","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-21"
"MXIM-AV-1-13-46-2","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-21"
"MXIM-AV-1-13-46-3","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-27"
"MXIM-AV-1-13-46-4","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-27"
"MXIM-AV-1-13-46-5","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-27"
"MXIM-AV-1-13-46-6","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-28"
"MXIM-AV-1-13-46-7","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-28"
"MXIM-AV-1-13-46-8","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-29"
"MXIM-AV-1-13-46-9","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-08-30"
"MXIM-AV-1-13-47","","Elisa Dolores Espinosa Cruz","Adaptación de la norma ISAD (G)","2014-09-09"
"MXIM-AV-1-13-48","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-13"
"MXIM-AV-1-13-49","","Penélope Ubaldo","Adaptación de la norma ISAD (G)","2015-05-13"
"MXIM-AV-1-13-5","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-08"
"MXIM-AV-1-13-6","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-20"
"MXIM-AV-1-13-7","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-14"
"MXIM-AV-1-13-8","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-20"
"MXIM-AV-1-13-9","","Úrsula Mares","Adaptación de la norma ISAD (G)","2013-03-20"
