"codigo_de_referencia","existencia_y_localizacion_de_copias","unidades_de_descripcion_relacionadas","documentos_asociados"
"MXIM-AV-1-13-1","","Temática: Discriminación en los medios.                                     Nosotros… los otros.                                                                       Medios y discriminación MXIM-AV-1-13-23 ",""
"MXIM-AV-1-13-10","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213       Movimiento por la Diversidad Cultural en México: http://diversidadcultural.mx/web/                     Asociación Jalisciense de Grupos Indígenas: http://www.puebloindigena.com/"
"MXIM-AV-1-13-11","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213   Organización México Negro http://www.redriood.org/index.php/miembros-mexico/37-mexico-negro-ac"
"MXIM-AV-1-13-12","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213                   El Caracol   www.elcaracol.org.mx/                                                                                                      Visión Mundial de México http://www.worldvisionmexico.org.mx/                                             CONAPRED  http://www.conapred.org.mx/                                                                                             Red por los Derechos de la Infancia en México (redim) http://www.derechosinfancia.org.mx/"
"MXIM-AV-1-13-13","","",""
"MXIM-AV-1-13-14","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-15","","",""
"MXIM-AV-1-13-16","http://cinematecacuba2.blogspot.mx/2013/07/en-el-cuerpo-equivocado.html","","\"Reconocimiento y galardones al documental cubano \"En el cuerpo equivocado\" de la directora Marilyn Solaya, ganador del DocTV Latinoamérica II\", en: http://www.doctvlatinoamerica.org/es/noticias/reconocimiento-y-galardones-al-documental-cubano-e"
"MXIM-AV-1-13-17","","Unidades relacionadas con el tema de la dictadura militar uruguaya y represión:                                                                                                        Las manos en la tierra MXIM-AV-1-13-40                                          ",""
"MXIM-AV-1-13-18","","Unidades relacionadas con el movimiento en México del 68: ",""
"MXIM-AV-1-13-19","","",""
"MXIM-AV-1-13-2","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","Temática: Población callejera.                                                        Voces de la guerrero MXIM-AV-1-12-45","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213                   El Caracol A.C: 18 años recorriendo las calles: http://www.elcaracol.org.mx/                                     Cauce ciudadano : http://www.cauceciudadano.org.mx/"
"MXIM-AV-1-13-20","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213                                                                                                                             Centro de Reflexión y Acción Laboral (CEREAL): http://www.fomento.org.mx/cereales/df.html"
"MXIM-AV-1-13-21","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-22","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-23","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","Unidades relacionadas con el tema de discriminación en los medios:                                                                                              Historias para no pensar, Las familias en la televisión MXIM-AV-1-13-1  ","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-24","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-25","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-26","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-27","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213 Constitución Mexicana: Cláusula anti discriminatoria: Artículo 1o, párrafo 3o. "
"MXIM-AV-1-13-28","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-29","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
"MXIM-AV-1-13-3","Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred","","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. \"Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación\". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213    Comunidad Participativa Tepito, A.C., ComParTe:  www.comparte.org.mx "
