"codigo_de_referencia","area_de_notas"
"MXIM-AV-1-13-1",""
"MXIM-AV-1-13-10",""
"MXIM-AV-1-13-11",""
"MXIM-AV-1-13-12",""
"MXIM-AV-1-13-13",""
"MXIM-AV-1-13-14",""
"MXIM-AV-1-13-15",""
"MXIM-AV-1-13-16","Copia de canal 22"
"MXIM-AV-1-13-17",""
"MXIM-AV-1-13-18",""
"MXIM-AV-1-13-19",""
"MXIM-AV-1-13-2",""
"MXIM-AV-1-13-20",""
"MXIM-AV-1-13-21",""
"MXIM-AV-1-13-22",""
"MXIM-AV-1-13-23",""
"MXIM-AV-1-13-24",""
"MXIM-AV-1-13-25",""
"MXIM-AV-1-13-26",""
"MXIM-AV-1-13-27",""
"MXIM-AV-1-13-28",""
"MXIM-AV-1-13-29",""
"MXIM-AV-1-13-3",""
"MXIM-AV-1-13-30",""
"MXIM-AV-1-13-31",""
"MXIM-AV-1-13-32",""
"MXIM-AV-1-13-33",""
"MXIM-AV-1-13-34",""
"MXIM-AV-1-13-35",""
"MXIM-AV-1-13-36",""
"MXIM-AV-1-13-37",""
"MXIM-AV-1-13-38",""
"MXIM-AV-1-13-39",""
"MXIM-AV-1-13-4",""
"MXIM-AV-1-13-40","Documental en video grabado del canal 22 con comerciales. Forma parte de doctv Latinoamérica II, ver en: http://www.doctvlatinoamerica.org/es/doctv-II"
"MXIM-AV-1-13-41",""
"MXIM-AV-1-13-42",""
"MXIM-AV-1-13-43",""
"MXIM-AV-1-13-44",""
"MXIM-AV-1-13-45",""
"MXIM-AV-1-13-46-1","Compilación en el 2013. Pertenece al DVD 1."
"MXIM-AV-1-13-46-2","Este documental es parte de la compilación hecha en el 2013 por antropo-visiones, pero no corresponde al CD que indica el estuche. Pertenece al DVD 1."
"MXIM-AV-1-13-46-3","Este documental es parte de la compilación hecha en el 2013 por antropo-visiones, pero no corresponde al CD que indica el estuche. Pertenece al DVD 2."
"MXIM-AV-1-13-46-4",""
"MXIM-AV-1-13-46-5",""
"MXIM-AV-1-13-46-6","2a edición 2008, Coproducción CIESAS"
"MXIM-AV-1-13-46-7","En el minuto 16 de la proyección comienza a tener fallas de reproducción."
"MXIM-AV-1-13-46-8","Este documental también se puede localizar con el código MXIM-AV-1-12-231"
"MXIM-AV-1-13-46-9",""
"MXIM-AV-1-13-47","El documental se encuentra es parte de una serie brasileña titulada Coletanea LABHOI UFF Passados Presentes, que en su mayoría se realizaron del 2005 al 2007, por lo tanto éste DVD se encuentra junto con los otros en la década del 2000 al 2010, los códigos son MXIM-AV-1-12-346, MXIM-AV-1-12-347, MXIM-AV-1-12-348. "
"MXIM-AV-1-13-48",""
"MXIM-AV-1-13-49",""
"MXIM-AV-1-13-5",""
"MXIM-AV-1-13-6",""
"MXIM-AV-1-13-7",""
"MXIM-AV-1-13-8",""
"MXIM-AV-1-13-9",""
