"codigo_de_referencia","imagen","url"
"MXIM-AV-1-13-1","MXIM-AV-1-13-1.jpg",""
"MXIM-AV-1-13-10","nosotros-losotros.jpg",""
"MXIM-AV-1-13-11","nosotros-losotros.jpg","https://www.youtube.com/watch?v=H70vuux90BE"
"MXIM-AV-1-13-12","nosotros-losotros.jpg",""
"MXIM-AV-1-13-13","nosotros-losotros.jpg",""
"MXIM-AV-1-13-14","nosotros-losotros.jpg","https://www.youtube.com/watch?v=kp-xT-xxaSc"
"MXIM-AV-1-13-15","agrimensura.jpg",""
"MXIM-AV-1-13-16","pcubenelcuerpoequivocad.jpg","https://www.youtube.com/watch?v=8aRIsh26DEw"
"MXIM-AV-1-13-17","Más allá del reglamento.jpg","https://www.youtube.com/watch?v=lFMmvM59cpM"
"MXIM-AV-1-13-18","MXIM-AV-1-13-18.jpg","https://www.youtube.com/watch?v=tYAQEsYjcM0"
"MXIM-AV-1-13-19","MXIM-AV-1-13-19.jpg","https://www.youtube.com/watch?v=pyZm_Dog-7c"
"MXIM-AV-1-13-2","nosotros-losotros.jpg","https://www.youtube.com/watch?v=PPBq0o_YXqA"
"MXIM-AV-1-13-20","nosotros-losotros.jpg",""
"MXIM-AV-1-13-21","nosotros-losotros.jpg",""
"MXIM-AV-1-13-22","nosotros-losotros.jpg",""
"MXIM-AV-1-13-23","nosotros-losotros.jpg",""
"MXIM-AV-1-13-24","nosotros-losotros.jpg",""
"MXIM-AV-1-13-25","nosotros-losotros.jpg",""
"MXIM-AV-1-13-26","nosotros-losotros.jpg",""
"MXIM-AV-1-13-27","nosotros-losotros.jpg",""
"MXIM-AV-1-13-28","nosotros-losotros.jpg",""
"MXIM-AV-1-13-29","nosotros-losotros.jpg",""
"MXIM-AV-1-13-3","nosotros-losotros.jpg",""
"MXIM-AV-1-13-30","nosotros-losotros.jpg",""
"MXIM-AV-1-13-31","nosotros-losotros.jpg",""
"MXIM-AV-1-13-32","nosotros-losotros.jpg",""
"MXIM-AV-1-13-33","",""
"MXIM-AV-1-13-34","MXIM-AV-1-13-34.jpg","https://vimeo.com/59237206"
"MXIM-AV-1-13-35","MXIM-AV-1-13-35.jpg",""
"MXIM-AV-1-13-36","MXIM-AV-1-13-36.jpg","https://www.youtube.com/watch?v=hUd71dOruHY"
"MXIM-AV-1-13-37","",""
"MXIM-AV-1-13-38","","https://www.youtube.com/watch?v=fmenOLFb1X8"
"MXIM-AV-1-13-39","",""
"MXIM-AV-1-13-4","nosotros-losotros.jpg",""
"MXIM-AV-1-13-40","","https://www.youtube.com/watch?v=pyzu5s3TkVo"
"MXIM-AV-1-13-41","",""
"MXIM-AV-1-13-42","","https://www.youtube.com/watch?v=aLRCrvn7_1U"
"MXIM-AV-1-13-43","","https://www.youtube.com/watch?v=HAPTcVLcLRg"
"MXIM-AV-1-13-44","","https://www.youtube.com/watch?v=UvrHTWyj248"
"MXIM-AV-1-13-45","",""
"MXIM-AV-1-13-46-1","",""
"MXIM-AV-1-13-46-2","",""
"MXIM-AV-1-13-46-3","",""
"MXIM-AV-1-13-46-4","",""
"MXIM-AV-1-13-46-5","",""
"MXIM-AV-1-13-46-6","",""
"MXIM-AV-1-13-46-7","",""
"MXIM-AV-1-13-46-8","",""
"MXIM-AV-1-13-46-8","","https://www.youtube.com/watch?v=pyZm_Dog-7c"
"MXIM-AV-1-13-47","","http://ufftube.uff.br/video/32HM8D46HHAK/Passados-Presentes--mem%C3%B3ria-negra-no-sul-fluminense-English-subtitles"
"MXIM-AV-1-13-48","",""
"MXIM-AV-1-13-49","",""
"MXIM-AV-1-13-5","nosotros-losotros.jpg",""
"MXIM-AV-1-13-6","nosotros-losotros.jpg",""
"MXIM-AV-1-13-7","nosotros-losotros.jpg","https://www.youtube.com/watch?v=kp-xT-xxaSc"
"MXIM-AV-1-13-8","nosotros-losotros.jpg",""
"MXIM-AV-1-13-9","nosotros-losotros.jpg",""
