 DÉCADA 1980-1989,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
Código de referencia,Titulo propio,Entidad productora,Distribuidora,Productor,Historia Institucional,Reseña biográfica del realizador,Forma de ingreso,Fecha de ingreso
MXIM-AV-1-10-1,FSLN: Victoria de un pueblo en armas ,INCINE,"Zafra A.C., ENIDIEC",,,,,
MXIM-AV-1-10-2,Antonio Gaudí,Teshigahara Productions,Teshigahara Productions,Hiroshi Teshigahara,,,,
MXIM-AV-1-10-3,Biquefarre ,"Midas S.A., Mallia Films",,,"Desde 1978, la casa productora Mallia Films ha producido filmes de todo tipo: experimentales, largometrajes, cortometrajes y documentales; de una docena de directores franceses y extranjeros.",,,
MXIM-AV-1-10-4,Cannibal Tours (Excursiones caníbales),"The Institute of Papua, Nueva Guinea Studies, Channel 4", ," Dennis O' Rourke, Asociados: Laurence J. Henderson, Chris Owen","El Institute of Papua New Guinea Studies (IPNGS) es una institución de investigación cultural financiada por el gobierno, fundada en 1974 bajo el Consejo Nacional de Cultura. Ulli Beier sirvió como el primer director hasta 1978. Posteriormente, los directores han incluido a Kumalau Tawali, John Kolia, Andrew Strathern, Jacob Simet, y Ralph Wari. Actualmente Don Niles está actuando director. Desde el principio el IPNGS se ha preocupado por la documentación, preservación y difusión de la investigación en las diversas culturas del país. Es una de las principales instituciones de investigación culturales en Papúa Nueva Guinea.",,Donación,2001
MXIM-AV-1-10-5,Tlacuilo,"Estudios Churubusco-Azteca, CIESAS, INAH, TV Española",,,"CIESAS: La investigación en el CIESAS El Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS) es una institución pública federal que forma parte, junto con otros 27 Centros Públicos de Investigación, del Sistema de Centros CONACYT. El CIESAS se dedica al estudio de los problemas nacionales a través de la investigación y la formación de especialistas de alto nivel en los campos de la antropología social, la historia, la etnohistoria, la lingüística y otras ciencias sociales, con presencia nacional y arraigo regional. Actualmente el CIESAS cuenta con sedes y programas de investigación y docencia en siete ciudades del país: Sede Distrito Federal (Ciudad de México), Sede Golfo (Xalapa, Veracruz), Sede Occidente (Guadalajara, Jalisco), Sede Pacífico Sur (Oaxaca, Oaxaca), Sede Sureste (San Cristóbal de Las Casas, Chiapas), Programa Noreste (Monterrey, Nuevo León) y Programa Peninsular (Mérida, Yucatán). De esta forma, el CIESAS ratifica su vocación de ser una institución de carácter tanto regional como nacional que le ha permitido incidir en el desarrollo de las ciencias sociales en diversos estados de la República, realizar investigaciones con enfoque regional, impartir programas de enseñanza especializados y colaborar tanto con instituciones académicas internacionales como nacionales y estatales. A 33 años de su fundación, el CIESAS ha alcanzado un liderazgo en las disciplinas que cultiva; cuenta con un alto reconocimiento externo, producto de la combinación de investigación básica, aplicada y participativa, y con la reciente incursión exitosa en la crítica y evaluación de políticas públicas.(http://www.ciesas.edu.mx/) INAH: El Instituto Nacional de Antropología e Historia es el organismo del gobierno federal fundado en 1939 para garantizar la investigación, conservación, protección y difusión del patrimonio prehistórico, arqueológico, antropológico, histórico y paleontológico de México. Su creación ha sido fundamental para preservar el patrimonio cultural mexicano. Actualmente el INAH realiza sus funciones a través de una estructura que se compone de una Secretaría Técnica, responsable de supervisar la realización de sus labores sustantivas, cuyas tareas se llevan a cabo por medio de las 7 Coordinaciones Nacionales y los 31 Centros regionales distribuidos en los estados de la República. Tarea fundamental es la investigación científica, para lo cual colaboran más de 400 académicos en las áreas de historia, antropología social, antropología física, arqueología, lingüística, etnohistoria, etnología, arquitectura, conservación del patrimonio, conservación y restauración. Por otro lado, el INAH integra un conjunto de acervos documentales, entre ellos la Biblioteca de Antropología e Historia, que reúne la mayor colección de publicaciones de carácter histórico y antropológico en México y resguarda fondos documentales y códices de importancia histórica. Las actividades de difusión sobre nuestro patrimonio se realizan no sólo con un vasto programa de publicaciones periódicas, sino también a través de la producción de fonogramas y videogramas, además, de comunicados a los medio de comunicación masiva.(Extraído de: http://www.inah.gob.mx/).",,,
MXIM-AV-1-10-6,Dix minutes de silence pour John Lennon (10 minutos de silencio por John Lennon documental),,,Pascale Dauman,,,,
MXIM-AV-1-10-7,Una mayordomía,Instituto Nacional Indigenista (INI)-Archivo Etnográfico Audiovisual de la Subdirección de Imagen y Sonido,,"Enrique González Souza, Oscar Magaña","CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el aea, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-10-8,El Blanquita,Centro de Capacitación Cinematográfica (CCC),,Saúl Serrano,"CCC: El Centro de Capacitación Cinematográfica tiene como objetivo primordial el de formar cineastas de alto nivel profesional en las áreas técnicas y artísticas de cinefotografía, producción, sonido, edición, guión y realización, en el marco de una concepción integral del quehacer y del lenguaje cinematográficos. El CCC se erige como una escuela de cine en el amplio sentido de la palabra, como un centro de actividad académica y de difusión cultural que vincula el cine y —en general— la imagen en movimiento, con las demás manifestaciones y expresiones artísticas. Desde su fundación en el año de 1975, el CCC ha buscado obtener en el ejercicio cinematográfico una mirada propia, una propuesta estética profunda que derive en un estilo de cine divorciado de modelos rígidos de pensamiento y expresión. Hoy en día el CCC cuenta con más de veinte años de experiencia en la capacitación de jóvenes cineastas a través del Curso General de Estudios Cinematográficos, mismo que el Centro ofrece bajo un programa de cuatro años de formación continua. Cuenta con un nivel similar al de las mejores escuelas de cine del mundo; su prestigio y presencia en el medio cinematográfico se manifiestan en la cantidad de muestras y festivales nacionales e internacionales a los que sus producciones son invitadas a participar. La calidad de la formación que imparte el Centro ha logrado, además, garantizar que sus egresados se incorporen, como profesionales de alto nivel, a la industria cinematográfica y de producción audiovisual mexicana e internacional. El Centro de Capacitación Cinematográfica, A.C. es una institución coordinada por el Instituto Mexicano de Cinematografía; forma parte del Consejo Nacional para la Cultura y las Artes y es una de las escuelas que conforman el Centro Nacional de las Artes. Fue fundado en el año de 1975 por Carlos Velo y tuvo como presidente honorario, en sus inicios, al cineasta Luis Buñuel. (http://ccc.cnart.mx/presentacion/f_pre01.htm) ",,,
MXIM-AV-1-10-9,El eterno retorno: testimonios de los indios Kikapu,Instituto Nacional Indigenista (INI) - Archivo Etnográfico Audiovisual,,"Coca Gaxiola, Juan Carlos Colín, Juan Francisco Urrusti","CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el área, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
