,,,,,,,,,,,,,,,,,,,,,,,,,
,TITULO,,,,,,,,MENCIÓN DE RESPONSABILIDADES,,,,,,,,,SONIDO,,MÚSICA,,,,,
Código de referencia,Propio,Paralelo,Atribuido,Titulo de serie,Número programa,País,Fecha,Duración,Investigación,Realización,Dirección,Guión,Adaptación,Idea original,Fotografía,Fotografía fija,Edición,Grabación,Edición,Original,músicalización,Voces,Actores,Animación,Otros colaboradores
MXIM-AV-1-10-1,FSLN: Victoria de un pueblo en armas ,,,,,Nicaragua,1980,0:43:00,,"Jorge Denti, Bertha Navarro, Carlos Vicente Ibarra",,"Bertha Navarro, Carlos Ibarra",,,A. Fournier,,"Sonia Fritz, Johnny Henderson, Mirita Lores",Nerio Barberis,,,,,,,
MXIM-AV-1-10-2,Antonio Gaudí, ,,,,Japón,1984,1:13:00,,Hiroshi Teshigahara,Hiroshi Teshigahara,,,,"Junichi Segawa, Yoshikazu Yanagida, Ryu Segawa",,Hiroshi Teshigahara,Koji Asari,Eiko Yoshida,Toru Takemitsu,"Kurodo Mouri, Shinji Hori",Seiji Miyaguchi,,,Entrevistado: Isidro Puig Boada
MXIM-AV-1-10-3,Biquefarre ,,,,,Francia,1983,1:30:00,,Georges Rouquier,,Marie Arnaud,Georges Rouquier,,André Villard,,Geneviève Louveau,Alain Sempé,,Yves Gilbert,Gérard Lamps,,"Henri Rouquier, Maria Rouquier, Roger Malet, Marius Benaben, André Benaben, Francine Benaben, Marie-Hélène Benaben, Roch Rouquier, Raymond Rouquier, Georgette Rouquier",,
MXIM-AV-1-10-4,Cannibal Tours (Excursiones caníbales),Viajes caníbales,,,,Australia,1987,1:07:00,,Dennis O'Rourke,,,,,Dennis O' Rourke,,Tim Lichtfield,"Chris Owen, Tim Litchfield",John Herron,,,,,,
MXIM-AV-1-10-5,Tlacuilo,,,,,México,1987,0:56:00,"Dr. Joaquín Galarza, Enrique Escalona, Socorro Fuentes, Mercedes García Besne, Barbara Torres, Teo Ramírez, Claudia Fuentes, Nadine Beligand, Cecilia Rossel",Enrique Escalona,,Enrique Escalona,,,Javier Merino,Archivo etnográfico audiovisual del Instituto Nacional Indigenista,"Sigfrido García Jr., Jorge Vargas",,,Grupo Huehuecuicatl,"Ernesto Cano Lomeli, Arturo García Orzoco, Jorge Romero Guzmán","Claudio Obregón, Alfredo Ramírez, Nadine Beligand, Gabriela Robles McEachen",,Rodolfo Segura Abdias,"Coloristas: Carolina Herrera, Rosa Ma. Torres, Catalina Madrigal, Efectos Sonoros: Sergio Castro"
MXIM-AV-1-10-6,Dix minutes de silence pour John Lennon (10 minutos de silencio por John Lennon documental),,,,,Francia,1980,0:09:00,,Raymond Depardon,,,,,,,,,,,,,,,
MXIM-AV-1-10-7,Una mayordomía,,,,,México,1980,0:55:00,"Diana Roldán, Gabriela Salinas, Blanca Alonso.",Juan Carlos Colín F.,,Diana Roldán B.,,,"Henner Hofmann, Juan Carlos Colín F., Victor Gaytán",,Fernando Pardo,"Enrique García, Fernando Cámara",,,,,,,Félix Baez-Jorge
MXIM-AV-1-10-8,El Blanquita,,,,,México,1980,0:16:29,,Saúl Serrano,,,,,Antonio Díaz de la Serna,,Saúl Serrano,"Guadalupe Ortega, Saúl Serrano ",,,,,,,Asistente: Raúl Sánchez
MXIM-AV-1-10-9,El eterno retorno: testimonios de los indios Kikapu,,,,,México,1984,1:32:00,Jasé Raúl Velasco,Rafael Montero,,,,,Alejandro Gamboa,,Juan Manuel Vargas,,,,,,,Carolina Kerlow,Coord. General: Alberto Becerril
MXIM-AV-1-10-10,El papel de San Pablito,,,,,México,1981,0:36:00,"Elías Margolis, Teresa Mendicutti, ",Federico Weingartshofer,,,,,Federico Weingartshofer,Cecilia Portal,"Federico Weingartshofer, Luis Kelly","Antonio Betancourt, Sibylle Hayem, Enrique ""Heini"" Kuhlmann",,TRIBU,,,,,
MXIM-AV-1-10-11,El Salvador: el pueblo vencerá,,,,,El Salvador,1980,1:17:00,,Diego de la Texera,,Diego de la Texera,,,Diego de la Texera,,"Antonio Iglesias, Deborah Shaffer, Roberto Bravo, Luis Fuentes",Luis Fuentes,,Adrián Gorzueta,,"Valentín Hernández, Carlos Álvarez, Maroldo, Alvaro, Chema",,,
MXIM-AV-1-10-12,El oficio de tejer,,,,,México,1981,0:42:00,,Juan Carlos Colín,,José Antonio Nava,,,Henner Hofmann,,Fernando Pardo,,,,,,,,"Enrique García, Enrique Kulhman"
MXIM-AV-1-10-13,Encuentro nacional de Jóvenes Indígenas,,,,,México,1985,0:22:00,,,,,,,,,,,,,,,,,
MXIM-AV-1-10-14,Entre la presencia y el olvido,,,,,México,1988,0:33:00,,"Claudio Rocha, Laila Heiblum",,,,,Guillermo Granillo,,"Laila heiblum, Claudio Rocha","Ernesto Gaytan, Esteban Reyes",,Alejandro Giacoman,,Luis Lomelí,,,"Asistentes de cámara: Jorge Medina, Xavier Pérez Grobet"
MXIM-AV-1-10-15,Faits divers (Hechos Diversos),,,,,Francia,1983,2:19:00,,Raymond Depardon,,,,,,,Francoise Prenant. Asistente de edición: Francois Margolin,,,,,,,,
MXIM-AV-1-10-16,From the Pole to the Equator,"Del Polo al ecuador, Dall Polo all'Equatore",,,,"Alemania oriental, Italia",1986,1:39:00,,"Yervant Gianikian, Angela Ricci Lucchi",,,,,,,DA Pennebaker,,,,"Keith Ullrich, Charles Anderson",,,,
MXIM-AV-1-10-17,Jornaleros del tiempo,,,,,México,1987,0:28:30,"Everardo Garduño, Patricia Morán, Efraín García, Angélica Beissel",César Ramírez M.,,"César Ramírez M., Guillermo Monteforte",,,Guillermo Monteforte,,"Héctor Rivas, Rodrigo Rivas",,Sandra Luz Aguilar,,,Laura Luengas,,,Asistente: Héctor Rivas
MXIM-AV-1-10-18,Koyaanisqatsi: life out of the balance (Koyaanisqatsi: Vida fuera de equilibrio),Life Out of Balance ,,,,Estados Unidos,1983,1:22:33,,Godfrey Reggio,,,,,Ron Fricke,,"Alton Alpole, Ron Fricke",Michael Stocker,David Rivas,,Philip Glass,,,,
