DÉCADA 1980-1989,,
,,
Código de referencia,Titulo propio,Área de notas
MXIM-AV-1-10-1,Victoria de un pueblo en armas ,"Existe un VHS, pero tiene algunas fallas, quizá solo sea de origen o limpieza"
MXIM-AV-1-10-2,Antonio Gaudí,
MXIM-AV-1-10-3,Biquefarre ,
MXIM-AV-1-10-4,Cannibal Tours (Viajes caníbales),
MXIM-AV-1-10-5,Tlacuilo,
MXIM-AV-1-10-6,Dix minutes de silence pour John Lennon,
MXIM-AV-1-10-7,Una mayordomía,"Tiene algunas fallas de origen, pero se ve completo."
MXIM-AV-1-10-8,El Blanquita,
MXIM-AV-1-10-9,El eterno retorno: testimonios de los indios Kikapu,
MXIM-AV-1-10-10,El papel de San Pablito,"Tiene algunas fallas de origen, pero se ve completo."
MXIM-AV-1-10-11,El Salvador: el pueblo vencerá,En el mismo disco aparece el documental de El Blanquita
MXIM-AV-1-10-12,El oficio de tejer,
MXIM-AV-1-10-13,Encuentro nacional de Jóvenes Indígenas,
MXIM-AV-1-10-14,Entre la presencia y el olvido,
MXIM-AV-1-10-15,Faits divers,Aparecen varios documentales o cortos del mismo director.
MXIM-AV-1-10-16,From the pole to the equator (Del Polo al ecuador),
MXIM-AV-1-10-17,Jornaleros del tiempo,
MXIM-AV-1-10-18,Koyaanisqatsi,
MXIM-AV-1-10-19,La cultura del caracol púrpura como patrimonio nacional,
MXIM-AV-1-10-20,La decisión de vencer,
MXIM-AV-1-10-21,La neta no hay futuro,
MXIM-AV-1-10-22,La república perdida II,
MXIM-AV-1-10-23,Laguna de dos tiempos,
MXIM-AV-1-10-24,"Laguna de Ostión. Acayucan , Ver.",
MXIM-AV-1-10-25,Lenguaje audiovisual,
MXIM-AV-1-10-26,Malcolm Lowry en México,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 791.430971 MAL.1"
MXIM-AV-1-10-27,Mara'acame. Cantador y curandero,
MXIM-AV-1-10-28,Mi hijo el Ché,"Material audiovisual registrado en la base de datos de la Biblioteca Ernesto de la Torre Villar, Instituto Mora. Código de referencia: VV 923.6 MIH.e"
MXIM-AV-1-10-29,Milano,
MXIM-AV-1-10-30,Une histoire de vent,
MXIM-AV-1-10-31,Nadie es inocente,
MXIM-AV-1-10-32,"New York, N.Y.",El disco (DVD) contiene un fragmento de Fait Divers también de Raymond Depardon
MXIM-AV-1-10-33,Sans Soleil,
MXIM-AV-1-10-34,Portraits d´Alain Cavalier (1a serie),
MXIM-AV-1-10-35,Powaqqatsi,
MXIM-AV-1-10-36,"Purépechas, los que viven la vida",
MXIM-AV-1-10-37,Reporters,
MXIM-AV-1-10-38,Rescate de la abeja nativa de Yucatán,
MXIM-AV-1-10-39,Reunión de madres y padres (en una escuela secundaria),
MXIM-AV-1-10-40,Urgencias,
MXIM-AV-1-10-41,"Tiempo de victoria: El Salvador, ocho años de guerra",
MXIM-AV-1-10-42,"Saumialuk ""Le Grand Gaucher"" (Saumialuk ""El gran zurdo"")",
MXIM-AV-1-10-43,Semana Santa entre los mayos,
MXIM-AV-1-10-44,"Taller de trovadores Xichu, Gto.",
MXIM-AV-1-10-45,Knochenumbettung,
MXIM-AV-1-10-46,La balada del pequeño soldado,
MXIM-AV-1-10-47,Mer dare ó Nas vek,
MXIM-AV-1-10-48,Sir Anthony Van Dyck: Samson and Delilah,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140
MXIM-AV-1-10-49,Lorenzo Lotto: Madonna and Child,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140
MXIM-AV-1-10-50,Jacob Van Ruisdael: The Large Forest,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140
MXIM-AV-1-10-51,Joachim Patinier: The baptism of Christ,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140
MXIM-AV-1-10-52,Hans Memling: St. John Altarpiece,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140
MXIM-AV-1-10-53,Edvard Munch: Four Girls on a Jetty,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-140
MXIM-AV-1-10-54,"Andy Warhol: The texan, Portrait of Robert Rauschenberg",La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141
MXIM-AV-1-10-55,Stefan Lochner: The Madonna of the rose bower,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141
MXIM-AV-1-10-56,Wolf Vostell: Miss América,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141
MXIM-AV-1-10-57,Ernst Ludwig Kirchner: Five women in the street,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141
MXIM-AV-1-10-58,Hugo Van Der Goes: Adoration of the Magi,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-141
MXIM-AV-1-10-59,Yves Tanguy: A las 4 de la tarde en verano Esperanza,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142
MXIM-AV-1-10-60,Sonia Delaunay: Electric Prisms,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142
MXIM-AV-1-10-61,Karl Friedrich Schinkel: Medieval city on the banks of a river,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142
MXIM-AV-1-10-62,Stanley Spencer: The Resurrection Cookham,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142
MXIM-AV-1-10-63,Louis or Antoine Le Nain: Peasant Family,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-142
MXIM-AV-1-10-64, John Everett Millais: Ophelia,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-143
MXIM-AV-1-10-65,Andrea Mantegna: Crucifixion of Christ,La serie se encuentra en físico en la década 2000 con la clasificación MXIM-AV-1-12-143
MXIM-AV-1-10-66,"Divine horsemen, The living Gods of Haiti",
MXIM-AV-1-10-67,La matelassière,
MXIM-AV-1-10-68,La fileuse,
MXIM-AV-1-10-69,La trempeuse,
MXIM-AV-1-10-70,L´orangère,
MXIM-AV-1-10-71,La brodeuse,
MXIM-AV-1-10-72,La dame-lavabo,
MXIM-AV-1-10-73,La relieuse,
MXIM-AV-1-10-74,La  bistrote,
MXIM-AV-1-10-75,La canneuse,
MXIM-AV-1-10-76,La repasseuse,
MXIM-AV-1-10-77,La rémouleuse,
MXIM-AV-1-10-78,La maítre-verrier,
MXIM-AV-1-10-79,First contact,
MXIM-AV-1-10-80,Después de…,
MXIM-AV-1-10-81,No se os puede dejar solos,
MXIM-AV-1-10-82,Atado y bien atado,
MXIM-AV-1-10-83,La isla de las flores,
MXIM-AV-1-10-84,Corresponsales de guerra I y II,
MXIM-AV-1-10-85,Corresponsales de guerra III y IV,
MXIM-AV-1-10-86,The Social Life of Small Urban Space,
MXIM-AV-1-10-87,San Clemente,
