DÉCADA 1990-1999,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
Código de referencia,Titulo propio,Condiciones de acceso,Existencia y localización de documentos originales,Idioma original,Doblajes diponibles,Subtitulajes,Soporte,No. copias,Descripción física,Color,Audio,Sistema de grabación,Región DVD,Requisitos técnicos
MXIM-AV-1-11-1,"Adolfo Ruiz Cortines, el jugador de dominó",Usos reservados para consulta in situ,,Español,,Español,VHS,1 vhs ,copia,"Color, blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-11-2,"Ora rindo, ora chorando",Usos reservados para consulta in situ,,Portugués,,,DVD,1 dvd ,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-3,Afriques: comment ca va avec la douleur?,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd ,copia,Color,,,,Reproductor DVD  y monitor
MXIM-AV-1-11-4,Más vale paso que dure,Usos reservados para consulta in situ,Laboratorio Audiovisual de Investigación Social (LAIS),"Español, inglés",,,DVD,1 dvd ,copia,Color,Monoaural,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-5,Alma del pueblo,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd, copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-6,"Miguel Alemán Valdés, el cachorro de la revolución",Usos reservados para consulta in situ,,,,,,,,,,,,
MXIM-AV-1-11-7,Amealco-USA. Cincuenta años de migración en un pueblo del centro de México,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd / 1 vhs, dvd copia / vhs copia  de producción ,Color,,NTSC,región 4,Reproductor DVD  y monitor
MXIM-AV-1-11-8,Amsterdam global Village,Usos reservados para consulta in situ,,"Holandés, aymara, inglés",,Español,DVD,1 dvd ,copia,Color,,,,Reproductor DVD  y monitor
MXIM-AV-1-11-9,A place called Chiapas,Usos reservados para consulta in situ,,Inglés,,,VHS,2 vhs / 1 dvd ,copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-10,Ariles y más ariles… Testimonios del son jarocho,Usos reservados para consulta in situ,,Español,,,VHS / DVD,1 dvd  / 1 vhs,vhs copia de producción / dvd copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS / DVD  y monitor
MXIM-AV-1-11-11,Artavazd Pelechían: obra documental (1967-1994),Usos reservados para consulta in situ,,,,,,1 dvd,copia,,,,,
MXIM-AV-1-11-12,Baraka,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,Color,,PAL,,Reproductor DVD  y monitor
MXIM-AV-1-11-13,"Batalhas pelo Patrimonio Batalhas pela História (Batallas por el patrimonio, batallas por la historia)",Usos reservados para consulta in situ,,Portugués,,,VHS /,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,"Color, blanco y negro",Estéreo,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-14,Batallón Olimpia. Documento abierto,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-15,Belovy; The Belovs,Usos reservados para consulta in situ,,Ruso,,"Inglés, Holandés",DVD,1 dvd,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-11-16,Blob Ubik-Il Bel Paese,Usos reservados para consulta in situ,,Italiano,,,,1 vhs / 1 dvd ,copias,Color,,NTSC,,
MXIM-AV-1-11-17,Buenavista Social Club,Usos reservados para consulta in situ,,"Español, inglés",,español,DVD,1 dvd,copia de producción,Color,Dolby Stéreo 2.0 y Dolby  Digital 5.1,NTSC,Región 4,Reproductor DVD y monitor
MXIM-AV-1-11-18,Cadê Brasília que construimos? (¿Dónde está la Brasilia que construimos?),Usos reservados para consulta in situ,,Portugués,,,VHS / DVD,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS/DVD  y monitor
MXIM-AV-1-11-19,"Candlemas in Patamban. Purhépecha, Michoacán, México",Usos reservados para consulta in situ,,"Español, inglés",,Purépecha,VHS,2 vhs / 1 dvd ,1 vhs copia de producción / 1 vhs y 1 dvd copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-20,Chiapas. Diálogo bajo amenaza,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,"Color, blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-11-21,Chiapas. La historia continúa,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,"Color, blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-11-22,"Chiapas, la otra guerra",Usos reservados para consulta in situ,,"Español, tzotzil",,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,"Color, blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-11-23,"Chiapas, Historia inconclusa",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,,,Reproductor VHS y monitor
MXIM-AV-1-11-24,Chile la memoria obstinada,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-25,Chute Libre,Usos reservados para consulta in situ,,,,,VHS,1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-26,Ciclo testimonios,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-27,Cinéma Perdu (Cine extraviado),Usos reservados para consulta in situ,,Holandés,,Francés,VHS,1 vhs / 1 dvd ,copia,Blanco y negro,,NTSC,,
MXIM-AV-1-11-28,Close up (Nema-ye Nazdik),Usos reservados para consulta in situ,,,,,,1 dvd ,copia,,,,,
MXIM-AV-1-11-29,Consulta nacional,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia de producción ,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-30,Copperwork in Santa Clara del Cobre. Artisans facing change,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,copia ,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-31,Cuando la rumba nos conoció,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,Región 4,Reproductor DVD y monitor
MXIM-AV-1-11-32,Cuando yo nací como persona,Usos reservados para consulta in situ,,Español,,,"VHS, DVD",1 vhs / 2 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-33,"Cuatro rayas, un pueblo organizado",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-34,Cuentos para una soledad desvelada,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs ,copia ,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-35,"Weavers in Auiran. Michoacán, Mexico",Usos reservados para consulta in situ,,"Español, purépecha",,Español,VHS,1 vhs / 1 dvd ,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-36,De wereld rond met pathé 1910-1915,Usos reservados para consulta in situ,,Holandés,,,VHS,1 vhs ,copia ,Blanco y negro,,NTSC,,
MXIM-AV-1-11-37,Del olvido al no me acuerdo,Usos reservados para consulta in situ,,Español,Portugués,,DVD,1 dvd ,copia de producción ,Color,Dolby digital 5.1,,,Reproductor DVD y monitor
MXIM-AV-1-11-38,Destination Samoa. New Zealand-Samoans between two cultures,Usos reservados para consulta in situ,,"Samoano, inglés",,Inglés,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-39,Días de albergue,Usos reservados para consulta in situ,,Español,,,VHS,1 dvd ,copia ,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-40,Die mauer,Usos reservados para consulta in situ,,Alemán,,"inglés, italiano, francés, español, tuco, ruso, japonés",DVD,1 dvd ,copia de producción ,"Color, Blanco y negro",Dolby Digital 2.0,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-41,Diva Dolorosa,Usos reservados para consulta in situ,,Muda,,Intertítulos: italiano y holandés,VHS,2 vhs / 2 dvd,copia,Blanco y negro,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-42,Ecología y grupos étnicos,Usos reservados para consulta in situ,,Español,,,VHS,,,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-43,Efemérides latinoamericanas,Usos reservados para consulta in situ,,Español,,,,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,,,
MXIM-AV-1-11-44,El buen restaurador ama lo antiguo. Testimonio del arquitecto Ricardo de Robina,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,Región 4,Reproductor DVD y monitor
MXIM-AV-1-11-45,"Adolfo Ruiz Cortines, el apogeo del sistema",Usos reservados para consulta in situ,,Español,,Español,VHS,,,"Color, blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-11-46,Nuestra capital hace medio siglo,Usos reservados para consulta in situ,,Español,,,VHS,,,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-47,"El Petén, Guatemala",Usos reservados para consulta in situ,,"Inglés, español",Inglés,,DVD,1 dvd ,copia,Color,,,,Reproductor DVD y monitor
