 DÉCADA 1990-1999,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
Código de referencia,Título propio,Sinopsis,Onomástico,Toponímico,Cronológico,Tipo de producción,Género,Fuentes,Recursos,Versiones,Formato original,Material extra
MXIM-AV-1-11-1,"Adolfo Ruiz Cortines, el jugador de dominó","Historia política, económica y social del México posrevolucionario, a partir del gobierno del General Lázaro Cárdenas. Cada sexenio es abordado a través de un esbozo biográfico del jefe del ejecutivo, así como por los logros y características particulares del periodo. En este volumen se aborda la vida de Adolfo Ruiz Cortines, desde su juventud como militar revolucionario, su paso por diversos cargos de elección popular y en la administración pública, hasta su llegada a la presidencia de México en 1952.","Enrique Krauze, José Luis Melgarejo, Justo Manzur, Hesiquiio Aguilar, Venustiano Carranza, Jacinto B. Treviño, Lucía Carrillo, Pancho Villa, Adolfo de la Huerta, Rómulo Sánchez Mireles, Miguel Alemán, Eugenio Méndez Docurro, Manlio Fabio Altamirano, Miguel Ángel Cordera, Siqueiros, Manuel Ávila Camacho, Jaime Torres Bodet, Alfonso Valencia Rios, Agustín Arriaga Rivera, Juan José Rodríguez Prats, Antonio Ortiz Mena, Juan Sánchez Navarro, Adolfo Ruiz Carrillo, Adolfo Cervantes Ruiz, María Isaguirre, Héctor Pérez, Lázaro Cárdenas, Adolfo Orive Alba, Vicente Lombardo Toledano, Efraín Gonzñalez, Miguel Enríquez Guzmán, Agustín Salvat","México: Veracruz, Ciudad de México: zócalo, reforma, Palacio de Bellas Artes, Catedral, El Caballito, Puebla","1 diciembre 1952, diciembre 1889, 1902, 1914, 1915-1920, mayo 1920, 1935, 1932, 1936, 1937, 1939, 1944, 1952",Película documental,,"Registros fílmicos, música de época, entrevistas, programas de TV, testimonios videorales, fotografías, pinturas, documentos,hemerografía","Narración en off, conducción, incidentales, animación, puesta en escena",,VHS,
MXIM-AV-1-11-2,"Ora rindo, ora chorando ",,,Portugal: Lisboa,,Película documental,,"Fotografías, testimonios videorales, grabación de campo, entrevistas","Narración en off, conducción, incidentales, animación, puesta en escena",,,
MXIM-AV-1-11-3,Afriques: comment ca va avec la douleur?,"Sólo con un micrófono en la cámara, Raymond Depardon ha recorrido el continente africano entre julio de 1993 y febrero de 1996. Nos muestra el Cabo de Buena Esperanza, Soweto, las tierras altas Karoo, Johannesburgo, Angola, los campamentos de refugiados de Rwanda y Burundi, Etiopía, Somalia, Sudán... Rechazando el silencio de la miseria, se interroga acerca de su responsabilidad como hombre de imagen a hablar sobre el dolor. (FILMAFFINITY)",Nelson Mandela,"África:Cabo de Buena Esperanza, Soweto, Karoo, Johannesburg, Angola, Rwanda, Burundi, Etiiiiopía, Somalia, Sudán",1993-1996,Película documental,,"Testimonios videorales, grabación de campo, música de época","Narración en off, conducción, incidentales, animación, puesta en escena",,35 mm,"Comentarios de Raymond Depardon, Colección Arte Vidéo"
MXIM-AV-1-11-4,Más vale paso que dure,"Recorremos la transformación de un espacio urbano de la Ciudad de México a lo largo de dos siglos, paseándonos con los ojos de la estatua ""El Caballito"" y desde los cuatro diferentes lugares que le ha tocado adornar.","Carlos IV, Benito Juárez, Carlota y Maximiliano, Porfirio Díaz, Émile Bérnard, Carranza, Plutarco Elias Calles, Manuel Tolsá, Carlos Obregón Santacilia, Demetrio Vallejo","Ciudad de México, Paseo de Bucareli, Tivoli del Eliseo, Castillo de Chapultepec, Paseo del Emperador, Palacio de Bellas Artes, Edificio La Nacional, Monumento a la Revolución, Edificio de la lotería Nacional, Avenida Reforma, Avenida Ju´rez, calle Madero, calle 5 de mayo, Zócalo, Estatua de la Diana cazadora, torre Latino, La Mariscala, Palacio de Minería","1796, 1852, 1930, 1958, 1964, 1979, 1992",Película documental,,"Pinturas, cartografía, entrevistas, grabación de campo, música de época, documentos, hemerografía, fotografías, registros fílmicos","Narración en off, conducción, animación, puesta en escena",,Video Hi-8,
MXIM-AV-1-11-5,Alma del pueblo,"""Un pueblo sin banda es un pueblo sin alma"" Este reportaje nos muestra algunas imágenes sobre  los Encuentros Nacionales de Bandas regionales promovidas por el CONACULTA durante 1993, en los que destacan la participación de bandas de Guerrero, Oaxaca, etc.y en las que los niños toman un papel muy importante.",,,,Película documental,,"Pinturas, cartografía, entrevistas, grabación de campo, música de época, documentos, hemerografía, fotografías, registros fílmicos",Grabación en campo,,VHS,
MXIM-AV-1-11-6,"Miguel Alemán Valdés, el cachorro de la revolución","Este es el primer documental sobre el Primer Presidente Civil de México,  Miguel Alemán Valdés ""El Cachorro de la Revolución"", desde el principio hasta el final de su régimen, su equipo de trabajo fueron egresados de la UNAM y sus amigos, inagurando la Revolución Institucionalizada, con la promesa de una acelerada industrialización y una producción agrícola sin precedentes, gracias al aumento de las vías de comunicación, y reformando el Artículo 27, donde tolera la propiedad privada.","Miguel Alemán Valdés, Tomasa Valdés, Miguel Alemán González, Porfirio Díaz, Hermanos Flores Magón, Eugenio Méndez, Francisco I. Madero, Cándido Aguilar, Victoriano Huerta, Miguel Alemán Velasco, Venustiano Carranza. Álvaro Obregón, Andrés Serra Rojas,  Plutarco Elías Calles, Gonzalo Escobar, Hesiquio Aguilar, Arnulfo R. Gómez, Héctor Pérez Manrtinez, Ernesto P. Uruchurtu, Gabriel Ramos Millán, Oscar Soto Maines, Manuel Ramírez Vázquez, Fernando Casas Alemán, Rogelio de la Selva, José ""Cuate"" Castilla, Antonio Martínez Báez, Juan Sánchez Navarro, Beatriz Velasco, Victor Manuel Mendoza, María Félix, Leonora Mar, Manuel Ávila Camacho, Lázaro Cárdenas, Eugenio Méndez, Adalberto Tejeda, Manlio Fabio Altamirano, Saturnino Cedillo, Almazan, Marco Antonio Muñoz, Maximino Ávila Camacho, Soledad Orozco, Adolfo Orive alba, ","Veracruz: Los Tuxtlas, Acayucan: Sayula, San Juan de Ulúa, Coatzacoalcos. Puebla. Tlaxcala. Guanajuato.  Ciudad de México: colonia Santa María la Ribera, San Ildefonso,, Estatua de El Caballito, La alameda, CAtedral, Palacio Nacionalm, Café Tacuba. Guerrero: Acapulco. San Antonio Texas.",1 dic 1946. 1900. 1906. 1910. 1913. 1920. 1922. 1923. 1925. 29 de junio 1928. 1927. 1931. 1952. 1964. 1933. 1934.  1935.  1 dic 1936. 1938. 1940. 1945.  1946. ,Película documental,,"Fotografías, cartografía, documentos, registros fílmicos, registros videográficos, cartografía, dibujos, programas de TV, hemerografía, ficción","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-7,Amealco-USA. Cincuenta años de migración en un pueblo del centro de México,"Documental sobre la tradición migratoria en el pueblo de Amealco, Qro. hacia los E.E. U.U. que tuvo su origen como un programa laboral emergente en los años 40, con la Segunda Guerra Mundial y que a consecuencia de la grave crisis que atraviesa el campo mexicano desde esos años, se ha convertido en la única alternativa económica para los pobladores. Un reflejo de la situación imperante en varios puntos del país a partir de los testimonios de esta pequeña entidad, con que se mezclan problemáticas de índoles económica, social, cultural e identitaria entre quienes se han ido y quienes piensan en ""cruzar el río"", siguiendo una suerte de tradición generacional de subsitencia. (LAIS)","Auspicio Franco, Roberto Romero, Joaquín Soto, Fernando Garduño, Jesús Arias, Alfredo Arciniega, Francisco Mejía Hernández, Víctor Mondragón, Zacarías León Navarrete, Irma Arias Ruiz.","Amealco, Querétaro, México, USA, EUA, Michoacán, Hacienda Solís, El Oro, El Rincón, Monterrey, Piedras Negras, Tijuana, Baja California, El Paso, El Puente, Río Bravo, La Línea, San Diego",1940-1990,Película documental,,"Documentales, registros fílmicos, pinturas, cartografía, programas de TV, registros fonográficos, entrevistas, grabación de campo","Narración off, conducción, animación, gráficos",,VHS,
MXIM-AV-1-11-8,Amsterdam global Village,"En esta epopeya de casi cuatro horas, el documentalista holandés hace un retrato de su ciudad, Amsterdam, y de sus gente. A lo largo de este viaje laberíntico, la cámara de Johan van der Keuken se pasea por los canales, las calles, los parques... Durante esta vuelta al mundo en su propia ciudad se encuentra con gente de todas las edades, provenientes de todo el mundo. El espectador sigue a Khalid, el protagonista de la película, un joven mensajero que hace su recorrido por toda la ciudad entregando su precioso cargamento de películas y fotos. Johan van der Keuken regresa a los orígenes remotos de ciertos encuentros, al seguir al hombre de negocios checheno Borz-Ali a una Grozni en guerra; o acompañando a Roberto a su pueblo natal de Bolivia cuando va a visitar a su madre, que lo creía muerto. La cámara sigue a una mujer judía y a su hijo que regresan a la casa en la que se reencontraron al final de la guerra, después de tres dolorosos años de separación. Esta película es también un viaje al corazón de la música: la dj 100% Isis y su música house, un entierro ganés, el director de orquesta Riccardo Chailly en el Concertgebouw. Johan van der Keuken construye así un patchwork apasionante acerca de algunas cuestiones capitales de finales del siglo XX.http://www.divxclasico.com/foro/viewtopic.php?t=56069&highlight=",,Holamda: Amsterdam. Bolivia. Thailandia. Sarajevo,1994-1996,Película documental,,"Testimonios orales, testimonios videorales, fotografías","Narración off, conducción, animación, gráficos",,35 mm,
MXIM-AV-1-11-9,A place called Chiapas,Documental sobre el conflicto armado de 1994 en Chiapas que presenta una visión extranjera sobre su desarrollo que resulta contrastante con la producción nacional al mostrar testimonios e imágenes de actores y acontecimientos clave.,,,,Película documental,,"Fotografías, pinturas, cartografía, publicidad, videoclips, registro videográfico, grabación de campo, entrevistas","Narración off, conducción, animación, gráficos",,VHS,
