DÉCADA 2000-2009,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias en otros acervos del Instituto Mora,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-12-1,Chris by Chris,,,
MXIM-AV-1-12-2,Adio Kerida,,Unidades relacionadas con la migración de judíos:                     Un beso a esta tierra MXIM-AV-1-11-150,http://www.ruthbehar.com/AKMakingOf.htm
MXIM-AV-1-12-3,A grande experiencia,,,
MXIM-AV-1-12-4,"Fiestas cristianas y fiestas profanas, 1934-1935",,,http://www.valdelomar.com/inicio.php
MXIM-AV-1-12-5,Al otro lado,,"Unidades relacionadas con la migración de México:                   De nadie MXIM-AV-1-12-27,                                                        El Salitre, esbozo de una historia en fuga MXIM-AV-1-12-231",
MXIM-AV-1-12-6,A propósito de Buñuel,,,
MXIM-AV-1-12-7,Archivo Abierto (Reportajes: La telenovela mexicana y La Secundaria),,,
MXIM-AV-1-12-8,"Bajo Juárez, la ciudad devorando a sus hijas",,"Unidades relacionadas con las desaparecidas de Ciudad Juárez:                                                                                       Justicia, protesta por los asesinatos de mujeres en Ciudad Juárez  MXIM-AV-1-12-82                                                   Señorita extraviada MXIM-AV-1-12-233",
MXIM-AV-1-12-9,Black-Blob,,,
MXIM-AV-1-12-10,Blanco encalada. La historia sumergida,,,
MXIM-AV-1-12-11,Carlos,,,
MXIM-AV-1-12-12,Cerca del olvido,,,http://www.mexicoporelsahara.org/galerias/videos/34-cerca-del-olvido-luis-mariano-bouchot.html  http://www.saharalibre.es/modules.php?name=News&file=article&sid=1457
MXIM-AV-1-12-13,"10e Chambre, instants d´audiences",,,
MXIM-AV-1-12-14,"Chiapas: la guerra y la paz, 1994-2004",,,
MXIM-AV-1-12-15,Chido mi banda. chido mi barrio,,,
MXIM-AV-1-12-16,Abriendo Brecha,,,
MXIM-AV-1-12-17,Ciudad olimpia. El año en que fuimos modernos.,,,
MXIM-AV-1-12-18,"Congos, ritmo e devocao",,,
MXIM-AV-1-12-19,Conservación álbumes fotográficos,,,
MXIM-AV-1-12-20,Corazón de fábrica,,Unidades relacionadas con empresas que se vuelven cooperativas:                                                                   Piqueteras MXIM-AV-1-12-150                                                  Alto Horno Zapla MXIM-AV-1-11-114,"""Corazón de fábrica: desde adentro"": http://www.fuseres.org/background/cine/91-corazon-de-fabrica.html"
MXIM-AV-1-12-21,Creación audiovisual. Documental comunitario,,,
MXIM-AV-1-12-22,¡Viva México!,,,
MXIM-AV-1-12-23,De dolor y esperanza. El asilo un pasado presente,,,
MXIM-AV-1-12-24,De Duchamp au Pop Art (De Duchamp al Arte Pop),,,
MXIM-AV-1-12-25,"De la tinta a la imagen, Memorias y tradiciones de mi ciudad",,,
MXIM-AV-1-12-26,De la tele a la boca… una reflexión sobre desarrollo infantil y salud,,,
MXIM-AV-1-12-27,De nadie,,"Unidades relacionadas con la migración de México:                    Al otro lado MXIM-AV-1-12-5                                                           El Salitre, esbozo de una historia en fuga MXIM-AV-1-12-231",
MXIM-AV-1-12-28,O arquitecto e a cidade velha,,,
MXIM-AV-1-12-29,Deux films d´Agnes Varda,,,
MXIM-AV-1-12-30,The filth and the fury. A sex pistols film,,,http://www.sexpistolsofficial.com/
MXIM-AV-1-12-31,"Diosa en el silencio azul. Isla Guadalupe, santuario del tiburon blanco.",,,
MXIM-AV-1-12-32,Obras documentais de Alain Resnais,,,
MXIM-AV-1-12-33,Documentales de Teatro mexicano,,,
MXIM-AV-1-12-34,El alma de los verdugos,,Unidades relacionadas con el tema de la dictadura militar argentina y represión:                                                                                             La República perdida II MXIM-AV-1-10-22                                 Por esos ojos MXIM-AV-1-11-122                                          Cavallo entre rejas MXIM-AV-1-12-62                                 H.I.J.O.S.  El alma en dos MXIM-AV-1-12-67                         Nietos (Identidad y memoria) MIM-AV-1-12-133,
MXIM-AV-1-12-35,El arenal,,,"""El Arenal, o donde están los monstruos"", Sinezine blogspot, 30 de agosto de 2008, Jorge Sánchez Sánchez, en : http://sinezine.blogspot.mx/2008/08/el-arenal-documental-realizado-por.html"
