DÉCADA 2010-2019,,,,,
,,,,,
Código de referencia,Titulo propio,Notas del archivero,Datos del archivero,Reglas o normas,Fecha de descripción
MXIM-AV-1-13-1,"Historia para no pensar, Las familias en la televisión",,Úrsula Mares,Adaptación de la norma ISAD (G),2012-11-28
MXIM-AV-1-13-2,Nosotros…los otros. Población callejera,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-8
MXIM-AV-1-13-3,Nosotros… los otros. Nuetros viejos (adultos mayores),,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-8
MXIM-AV-1-13-4,Nosotros… los otros. Vivir con VIH/SIDA,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-14
MXIM-AV-1-13-5,Nosotros… los otros. Migrantes,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-8
MXIM-AV-1-13-6,Nosotros… los otros. Discapacidad,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-20
MXIM-AV-1-13-7,Nosotros… los otros. Mujeres,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-14
MXIM-AV-1-13-8,Nosotros… los otros. Trabajadoras del hogar,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-20
MXIM-AV-1-13-9,Nosotros… los otros. Espacios de la discrimiación,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-20
MXIM-AV-1-13-10,Nosotros… los otros. Indígenas: El color de la tierra,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-14
MXIM-AV-1-13-11,Nosotros… los otros. Afrodescendientes,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-20
MXIM-AV-1-13-12,Nosotros… los otros. Derechos de los niños  y niñas,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-20
MXIM-AV-1-13-13,Sembradores de agua y vida,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-08-21
MXIM-AV-1-13-14,Nosotros… los otros. Jóvenes,,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-20
MXIM-AV-1-13-15,"Agrimensura y cartografía en México, 1720-1920",,Úrsula Mares,Adaptación de la norma ISAD (G),2013-03-21
