DÉCADA 2010-2019,,,,
,,,,
Código de referencia,Titulo propio,Existencia y localización de copias,Unidades de descripción relacionadas,Documentos asociados
MXIM-AV-1-13-1,"Historia para no pensar, Las familias en la televisión",,Temática: Discriminación en los medios.                                     Nosotros… los otros.                                                                       Medios y discriminación MXIM-AV-1-13-23 ,
MXIM-AV-1-13-2,Nosotros…los otros. Población callejera,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,Temática: Población callejera.                                                        Voces de la guerrero MXIM-AV-1-12-45,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213                   El Caracol A.C: 18 años recorriendo las calles: http://www.elcaracol.org.mx/                                     Cauce ciudadano : http://www.cauceciudadano.org.mx/"
MXIM-AV-1-13-3,Nosotros… los otros. Nuestros viejos (adultos mayores),Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213    Comunidad Participativa Tepito, A.C., ComParTe:  www.comparte.org.mx "
MXIM-AV-1-13-4,Nosotros… los otros. Vivir con VIH/SIDA,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213              Letra S: VIH/, sexualidad, salud: http://www.letraese.org.mx/                                                  Coordinación de Programa VIH/SIDA, Clínca Especializada Condesa, teléfono:  (01 55) 55 15 83 11                                                                                                                                            Censida México: http://censida.salud.gob.mx/                                                                                          Ave de México: http://www.avedemexico.org.mx/"
MXIM-AV-1-13-5,Nosotros… los otros. Migrantes,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,"Unidades relacionadas con la temática de la migración de México.                                                                                                    Al otro lado MXIM-AV-1-12-5,                                                                   De nadie MXIM-AV-1-12-27,                                                           El salitre, esbozo de una historia en fuga MXIM-AV-1-12-231","Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213              Centro de Derechos Humanos de la Montaña Tlachinollan: http://www.tlachinollan.org "
MXIM-AV-1-13-6,Nosotros… los otros. Discapacidad,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213           Comité Internacional Prociegos http://www.prociegos.com/                                                                   Libre Acceso http://www.libreacceso.org/                                                                                              Confe (Confederación Mexicana de Organizaciones en favor de la persona con discapacidad intelectual): http://www.confe.org.mx/                                                                                                     C.A.I. Piña Palmera, AC-Pochutla, Oaxaca http://www.pinapalmera.org/                                                Red Integra-Cd. Juárez Chihuahua http://www.integra.org.mx/"
MXIM-AV-1-13-7,Nosotros… los otros. Mujeres,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,Temática: feminicidios y discriminación a la mujer.  ,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213           Instituto Nacional de las mujeres: http://www.inmujeres.gob.mx/                                                         Centro de atención a la violencia doméstica: http://www.ilef.com.mx/ilef_014.htm                            Mujeres Aportando a Mujeres: www.mujeresmam.org.mx"
MXIM-AV-1-13-8,Nosotros… los otros. Trabajadoras del hogar,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213             Centro de Apoyo y Capacitación para Empleadas del Hogar http://conlactraho.org/page1/page12/page12.html                                                                   Confederación Latinoamericana y del Caribe de Trabajadoras del Hogar http://conlactraho.org/quienes.html"
MXIM-AV-1-13-9,Nosotros… los otros. Espacios de la discriminación,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213"
MXIM-AV-1-13-10,Nosotros… los otros. Indígenas: El color de la tierra,Los capítulos están disponibles en: http://www.youtube.com/Prensaconapred,,"Boletín de prensa no.800, México, D.F.,  22 de diciembre del 2012, 2012-088. ""Canal 22 y CONAPRED coprodujeron serie televisiva  para combatir la discriminación"". http://www.conapred.org.mx/index.php?contenido=boletin&id=491&id_opcion=103&op=213       Movimiento por la Diversidad Cultural en México: http://diversidadcultural.mx/web/                     Asociación Jalisciense de Grupos Indígenas: http://www.puebloindigena.com/"
