DÉCADA 1920-1929,,,
,,,
Código de referencia,Título propio,Vínculos externos ,Nombre del archivo de Portada
MXIM-AV-1-5-1,Á propos de Nice,https://www.youtube.com/watch?v=MkjWBjcG-MU,6e8fe23f26458f4bf2905c8e698b59b5.jpg
MXIM-AV-1-5-2,Coal Face (Cara de carbón),,coal face(2).jpg
MXIM-AV-1-5-3,Triumph des Willens,https://www.youtube.com/watch?v=B1NGScnmRYw,Trimph des Willens.jpg
MXIM-AV-1-5-4,Housing Problems (Problemas caseros),https://vimeo.com/4950031,14298915_640.jpg
MXIM-AV-1-5-5,"La natation (Taris, roi de léau)",https://www.youtube.com/watch?v=3m78GJMzcyU,57OUYBUAbu2DAbbEtvL4mYzkRdQ.jpg
MXIM-AV-1-5-6,Las hurdes (Tierra sin pan),https://www.youtube.com/watch?v=dMwkZiJtFyc,image360x491.jpg
MXIM-AV-1-5-7,Night Mail (Correo nocturno),https://www.youtube.com/watch?v=FkLoDg7e_ns,51SRA2CDVNL.jpg
MXIM-AV-1-5-8,The Plow That Broke the Plains (El arado que irrumpió en los llanos),https://www.youtube.com/watch?v=3L8IseE7W-Q,92931881_640.jpg
MXIM-AV-1-5-9,The river,https://archive.org/details/TheRiverByPareLorentz,007142.jpg
MXIM-AV-1-5-10,"The spanish earth (Tierra española, un documental sobre la Guerra Civil)",https://www.youtube.com/watch?v=ep24InPrJRQ,9FXgywOlDj0FbMQkAhoVbmvkN8y.jpg
MXIM-AV-1-5-11,Tres cantos a Lenin (Tri pesni o Lénine),https://vimeo.com/68878074,Tri-Pesni-O-Lenin.jpg
MXIM-AV-1-5-12,Transfer of power. The history of the toothed wheel (La transferencia de poder. La historia del engrane),,allisonv1710geartrainforrighthandrotatingengines1_zps5e83e896.jpg
MXIM-AV-1-5-13,Un pioniere del cinema científico. Roberto Omegna 1876-1948 (Un pionero del cine científico.  Roberto Omegna 1876-1948),,descarga (1).jpg
MXIM-AV-1-5-14,Fiestas cristianas y fiestas profanas,https://vimeo.com/48331100,SyMpJHNagTTzWvJBepWWErxkv5.jpg
MXIM-AV-1-5-16,"Untericht im ""baris""-Tanz (Baris-Djauk-Tanz auf Bali)",,
