DÉCADA 1960-1969,,,
,,,
Código de referencia,Titulo propio,Vínculos externos ,Nombre del archivo de portada
MXIM-AV-1-8-1,La pyramide humaine,https://vimeo.com/24140878,la_pyramide_humaine0.jpg
MXIM-AV-1-8-2,Tire Dié,https://www.youtube.com/watch?v=B3DedMr5NwE,cine-TireDie.jpg
MXIM-AV-1-8-3,A Valparaiso,https://vimeo.com/25746862,Valparaiso.jpg
MXIM-AV-1-8-4,Skizbe,https://vimeo.com/118337583,
MXIM-AV-1-8-6,Chiefs (Jefes),https://www.youtube.com/watch?v=NmyM5JKqqUs,ChiefsTitle.jpg
MXIM-AV-1-8-7,Chronique d'un été,https://www.youtube.com/watch?v=dhmAVJ4_x0Y,"MV5BMTYwNjY4OTM2OF5BMl5BanBnXkFtZTcwMDQwNzExOQ@@._V1_SY317_CR51,0,214,317_AL_.jpg"
MXIM-AV-1-8-8,Comizi d´amore,https://www.youtube.com/watch?v=9CI637_8voY,Encuesta_sobre_el_amor-190100873-large.jpg
MXIM-AV-1-8-9,Don't look back (No mires atrás),https://www.youtube.com/watch?v=C6y7AXw5U6w,dont-look-back1.jpg
MXIM-AV-1-8-10,Menq ,https://www.youtube.com/watch?v=I21Jn9ypscU,we.jpg
MXIM-AV-1-8-11,Fotografia della Famiglia Italiana,https://www.youtube.com/watch?v=9c0ux8vmVbo,fotografia della famiglia itialiana.jpg
MXIM-AV-1-8-12,Hanoi  Martes 13,https://www.youtube.com/watch?v=4vOMQPQjR2c,Hanoi_martes_13-322147743-large.jpg
MXIM-AV-1-8-13,Hasta la victoria siempre,https://www.youtube.com/watch?v=C_91PKG66gE,92824_2.jpg
MXIM-AV-1-8-14,Jaguar,https://www.youtube.com/watch?v=QHMBj393nN0,JAGUAR1.jpg
MXIM-AV-1-8-15,La Chasse au lion a l'arc (La caza del león con arco),https://vimeo.com/82311814,eYwDKys.jpg
MXIM-AV-1-8-16,La Direction d acteur por Jean Renoir,http://www.transmettrelecinema.com/video/la-direction-dacteur-par-jean-renoir/,07direccion_renoir.jpg
MXIM-AV-1-8-17,La hora de los hornos,https://www.youtube.com/watch?v=CV-rn2w0YVQ,hhornos2.jpg
MXIM-AV-1-8-18,La jetée,https://vimeo.com/53424634,lajetee.jpg
MXIM-AV-1-8-19,Heracles,https://vimeo.com/51616458,"Herakles.(Werner.Herzog,.1962).jpg"
MXIM-AV-1-8-20,La punition (El castigo),,
MXIM-AV-1-8-21,Law and order (Ley y orden),https://www.youtube.com/watch?v=rm0icUC5mkA,lawandorder.jpg
MXIM-AV-1-8-22,Les années folles,https://www.youtube.com/watch?v=U5vAQEWkZK0,descarga (3).jpg
MXIM-AV-1-8-23,"Un lion nommé ""l'américain"" ",http://www.dailymotion.com/video/x2juzfg,
MXIM-AV-1-8-24,México bárbaro,https://www.youtube.com/watch?v=LS_ZqfOPKqg,
MXIM-AV-1-8-25,Morir en Madrid,https://www.youtube.com/watch?v=rnPT2Bh5nqo,Morir_En_Madrid-Caratula.jpg
MXIM-AV-1-8-26,"¡Muerte al invasor!, Reportaje especial sobre la agresión imperialista al pueblo de Cuba",https://www.youtube.com/watch?v=SRzXQCWMp5s,icaic.jpg
MXIM-AV-1-8-27,Now! (Ahora),https://www.youtube.com/watch?v=vQ6c5n1ycoE,Now1.jpg
MXIM-AV-1-8-28,Letzte Worte  (Últimas palabras),https://www.youtube.com/watch?v=Vi1Z9lcMNss,1968LetzteWorteCOR.jpg
MXIM-AV-1-8-29,"Volkstänze in Desa, Rumänien  (Bailes folklóricos en Desa, Rumania)",,
MXIM-AV-1-8-30,Reportaje especial sobre la II Declaración de La Habana aprobada por el pueblo en Asamblea General,,icaic.jpg
MXIM-AV-1-8-31,Steam in Mexico (Vapor en México),,041_Mex_1500w.jpg
MXIM-AV-1-8-32,Terminus,https://www.youtube.com/watch?v=fx_lUCgC-Jo&noredirect=1,terminus.jpg
MXIM-AV-1-8-33,The Saturday Men (Los hombres del sabado),https://www.youtube.com/watch?v=b8wiaj4pnFs,51WRM2+DPTL.jpg
MXIM-AV-1-8-34,Comando 52,,descarga (4).jpg
