DÉCADA 1970-1979,,,
,,,
Código de referencia,Titulo propio,Vínculos externos,Nombre del archivo de portada
MXIM-AV-1-9-1,In the land of the war canoes (En la tierra de las canoas de guerra),https://www.youtube.com/watch?v=iOHYol7AXqU,MXIM-AV-1-9-1.jpg
MXIM-AV-1-9-2,Acting in Turn (Acción en giros),,
MXIM-AV-1-9-3,Appunti per un´Orestiade africana (Apuntes para una Orestiada africana),https://www.youtube.com/watch?v=-aaLnkUvfYA,MXIM-A-V-1-9-3.jpg
MXIM-AV-1-9-4,Aurelia Steiner,https://vimeo.com/84815324,MXIM-AV--1-9--4.jpg
MXIM-AV-1-9-5,Canciones para después de una guerra,https://www.youtube.com/watch?v=FVzCTUwxxqs,MXIM-AV-1-9-5.jpg
MXIM-AV-1-9-6,El tigre saltó y mató… pero morirá… morirá,,MXIM-AV-1-9-6.jpg
MXIM-AV-1-9-7,Historia de un documento,,MXIM-1-9-7.jpg
MXIM-AV-1-9-8,La batalla de Chile: la insurrección de la burguesía,https://www.youtube.com/watch?v=ldfQmR9Wmdk,MXIM-AV-1-9-8.jpg
MXIM-AV-1-9-9,El golpe de Estado,https://www.youtube.com/watch?v=N8psY-kGEH4,
MXIM-AV-1-9-10,L´Ambassade (La embajada),https://vimeo.com/106808776,MXIM-AV-1-9-10.jpg
MXIM-AV-1-9-11,La hora de los cerdos,,
MXIM-AV-1-9-12,La Maréchal-ferrant (El herrero),,
MXIM-AV-1-9-13,Le fond de l´air est rouge,https://www.youtube.com/watch?v=zLVDxK6fX5k,MXIM-AV-1-9-13.jpg
MXIM-AV-1-9-14,Les Vacances du cinéaste (Las vacaciones de un cineasta),,
MXIM-AV-1-9-15,Los Albañiles,,
MXIM-AV-1-9-16,Le train en marche ( El tren en marcha),,
MXIM-AV-1-9-17,Misión de Chichimecas. Guanajuato,,
MXIM-AV-1-9-18,Petit à petit (Poco a poco),https://www.youtube.com/watch?v=IxnbYV4-su8,
MXIM-AV-1-9-19,Queridísimos verdugos,,MXIM-AV-1-9-19.jpg
MXIM-AV-1-9-20,The Ax Fight (Pelea de hachas),,
MXIM-AV-1-9-21,Viva la República,,MXIM-AV-1-9-21.jpg
MXIM-AV-1-9-22,Les tambours d'avant (Los tambores de antaño),https://www.youtube.com/watch?v=wQKsDM5p97I,
MXIM-AV-1-9-23,Stierkampf in Forcalhos (Toros en Forcalhos),,
MXIM-AV-1-9-24,Besuchsfest in Munggona (Visita al festival en Munggona),https://av.getinfo.de/media/11715?0,
MXIM-AV-1-9-25,La Soufriére,,
MXIM-AV-1-9-26,Obitateli,https://vimeo.com/118341817,
MXIM-AV-1-9-27,Tarva Yeghanaknère,https://www.youtube.com/watch?v=NCQqS1hTNrc,
MXIM-AV-1-9-28,Nawi,,
MXIM-AV-1-9-28,Under the men's tree,,
MXIM-AV-1-9-29,El desencanto,,MXIM-AV-1-9-30.jpg
